x,z
http://gemeenteraad.org/vocabulary/LPG_have_vote(2002),http://gemeenteraad.org/vocabulary/LPG_have_vote(2002)
http://gemeenteraad.org/vocabulary/LPG_have_vote(2002),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/VVD_have_vote(1982),http://gemeenteraad.org/vocabulary/VVD_have_vote(1982)
http://gemeenteraad.org/vocabulary/VVD_have_vote(1982),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/valid_vote(1990),http://gemeenteraad.org/vocabulary/valid_vote(1990)
http://gemeenteraad.org/vocabulary/valid_vote(1990),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/VVD_have_vote(1994),http://gemeenteraad.org/vocabulary/VVD_have_vote(1994)
http://gemeenteraad.org/vocabulary/VVD_have_vote(1994),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/Nieuwe_Communistische_Partij_have_vote(2010),http://gemeenteraad.org/vocabulary/Nieuwe_Communistische_Partij_have_vote(2010)
http://gemeenteraad.org/vocabulary/Nieuwe_Communistische_Partij_have_vote(2010),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/JEZUS_LEEFT_have_vote(2014),http://gemeenteraad.org/vocabulary/JEZUS_LEEFT_have_vote(2014)
http://gemeenteraad.org/vocabulary/JEZUS_LEEFT_have_vote(2014),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/KVP_have_vote(1953),http://gemeenteraad.org/vocabulary/KVP_have_vote(1953)
http://gemeenteraad.org/vocabulary/KVP_have_vote(1953),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CPN_have_vote(1946),http://gemeenteraad.org/vocabulary/CPN_have_vote(1946)
http://gemeenteraad.org/vocabulary/CPN_have_vote(1946),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CDA_have_vote(2010),http://gemeenteraad.org/vocabulary/CDA_have_vote(2010)
http://gemeenteraad.org/vocabulary/CDA_have_vote(2010),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/SP_(Socialistische_Partij)_have_vote(2014),http://gemeenteraad.org/vocabulary/SP_(Socialistische_Partij)_have_vote(2014)
http://gemeenteraad.org/vocabulary/SP_(Socialistische_Partij)_have_vote(2014),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CPN_have_vote(1958),http://gemeenteraad.org/vocabulary/CPN_have_vote(1958)
http://gemeenteraad.org/vocabulary/CPN_have_vote(1958),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/Lokale_partijen_have_vote(2006),http://gemeenteraad.org/vocabulary/Lokale_partijen_have_vote(2006)
http://gemeenteraad.org/vocabulary/Lokale_partijen_have_vote(2006),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/TROTS_(Trots_op_Nederland)_have_vote(2014),http://gemeenteraad.org/vocabulary/TROTS_(Trots_op_Nederland)_have_vote(2014)
http://gemeenteraad.org/vocabulary/TROTS_(Trots_op_Nederland)_have_vote(2014),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/RK_have_vote(1986),http://gemeenteraad.org/vocabulary/RK_have_vote(1986)
http://gemeenteraad.org/vocabulary/RK_have_vote(1986),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CU_have_vote(2002),http://gemeenteraad.org/vocabulary/CU_have_vote(2002)
http://gemeenteraad.org/vocabulary/CU_have_vote(2002),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/RK_have_vote(1962),http://gemeenteraad.org/vocabulary/RK_have_vote(1962)
http://gemeenteraad.org/vocabulary/RK_have_vote(1962),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/KVP_have_vote(1966),http://gemeenteraad.org/vocabulary/KVP_have_vote(1966)
http://gemeenteraad.org/vocabulary/KVP_have_vote(1966),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/RK_have_vote(1974),http://gemeenteraad.org/vocabulary/RK_have_vote(1974)
http://gemeenteraad.org/vocabulary/RK_have_vote(1974),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/has_seats(2002),http://gemeenteraad.org/vocabulary/has_seats(2002)
http://gemeenteraad.org/vocabulary/has_seats(2002),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/has_seats(2014),http://gemeenteraad.org/vocabulary/has_seats(2014)
http://gemeenteraad.org/vocabulary/has_seats(2014),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/FNP_have_vote(2010),http://gemeenteraad.org/vocabulary/FNP_have_vote(2010)
http://gemeenteraad.org/vocabulary/FNP_have_vote(2010),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PSP_have_vote(1966),http://gemeenteraad.org/vocabulary/PSP_have_vote(1966)
http://gemeenteraad.org/vocabulary/PSP_have_vote(1966),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PvdA&D66_have_vote(2010),http://gemeenteraad.org/vocabulary/PvdA&D66_have_vote(2010)
http://gemeenteraad.org/vocabulary/PvdA&D66_have_vote(2010),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PSP_have_vote(1978),http://gemeenteraad.org/vocabulary/PSP_have_vote(1978)
http://gemeenteraad.org/vocabulary/PSP_have_vote(1978),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/LCG_have_vote(2002),http://gemeenteraad.org/vocabulary/LCG_have_vote(2002)
http://gemeenteraad.org/vocabulary/LCG_have_vote(2002),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/GL_have_vote(1994),http://gemeenteraad.org/vocabulary/GL_have_vote(1994)
http://gemeenteraad.org/vocabulary/GL_have_vote(1994),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/invalid_vote(1949),http://gemeenteraad.org/vocabulary/invalid_vote(1949)
http://gemeenteraad.org/vocabulary/invalid_vote(1949),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/Partij_voor_de_Dieren_have_vote(2014),http://gemeenteraad.org/vocabulary/Partij_voor_de_Dieren_have_vote(2014)
