Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;KVP;Overige partijen met zetels;CPN;ARP;CHU;PvdV;SGP;Overige partijen zonder zetels
10531;1000;Aagtekerke;349;0;0,00%;401;;0,00%;0;0;153;0;54;0;0;142;0
11264;358;Aalsmeer;5826;0;0,00%;6350;;0,00%;1688;1088;1895;363;0;0;792;0;0
11046;197;Aalten;6348;0;0,00%;7109;;0,00%;1129;932;504;0;2533;1250;0;0;0
11104;480;Aar (Ter);1922;0;0,00%;2049;;0,00%;0;1142;280;0;0;421;79;0;0
11020;648;Aardenburg;1777;0;0,00%;1992;;0,00%;0;888;709;0;180;0;0;0;0
10757;739;Aarle-Rixtel;1307;0;0,00%;1485;;0,00%;0;0;1307;0;0;0;0;0;0
10439;359;Abbekerk;427;0;0,00%;539;;0,00%;276;151;0;0;0;0;0;0;0
11026;481;Abbenbroek;403;0;0,00%;450;;0,00%;0;0;158;89;31;0;85;0;40
10712;305;Abcoude;1669;0;0,00%;1824;;0,00%;284;639;0;0;230;516;0;0;0
10199;59;Achtkarspelen;8000;0;0,00%;8934;;0,00%;2180;0;0;623;3568;1395;234;0;0
10524;1005;Achttienhove;396;0;0,00%;436;;0,00%;0;88;222;0;86;0;0;0;0
10996;1;Adorp;803;0;0,00%;873;;0,00%;0;0;408;0;395;0;0;0;0
10999;2;Aduard;1136;0;0,00%;1217;;0,00%;315;0;536;0;0;0;285;0;0
10346;360;Akersloot;1056;0;0,00%;1154;;0,00%;0;676;380;0;0;0;0;0;0
11327;482;Alblasserdam;3748;0;0,00%;4183;;0,00%;1247;0;451;0;298;1114;0;638;0
10495;1007;Alem c.a.;580;0;0,00%;628;;0,00%;0;0;543;0;0;0;0;0;37
10349;483;Alkemade;2928;0;0,00%;3259;;0,00%;0;2463;465;0;0;0;0;0;0
10527;361;Alkmaar;19022;0;0,00%;21654;;0,00%;6248;6602;1986;2896;0;0;1290;0;0
11053;141;Almelo;19686;0;0,00%;23047;;0,00%;6205;4257;0;4856;1790;1187;984;0;407
10788;740;Almkerk;2017;0;0,00%;2268;;0,00%;112;0;0;0;1166;406;182;0;151
10517;484;Alpen aan den Rijn;9606;0;0,00%;10735;;0,00%;1649;1819;5303;0;0;0;431;404;0
10710;741;Alphen c.a.;1293;0;0,00%;1502;;0,00%;0;1293;0;0;0;0;0;0;0
10922;883;Ambij;1037;0;0,00%;1272;;0,00%;0;0;1037;0;0;0;0;0;0
11400;142;Ambt-Delden;2097;0;0,00%;2303;;0,00%;0;1359;738;0;0;0;0;0;0
11349;485;Ameide;985;0;0,00%;1073;;0,00%;393;0;0;0;469;0;111;0;12
11153;60;Ameland;1123;0;0,00%;1317;;0,00%;0;301;822;0;0;0;0;0;0
11372;306;Amerongen;1671;0;0,00%;1959;;0,00%;282;0;324;0;186;531;0;254;94
10948;307;Amersfoort;25689;0;0,00%;30263;;0,00%;8391;6006;0;3282;2806;3314;1385;307;198
10863;486;Ammerstol;606;0;0,00%;672;;0,00%;299;0;134;173;0;0;0;0;0
10151;198;Ammerzoden;1315;0;0,00%;1441;;0,00%;0;907;408;0;0;0;0;0;0
10062;884;Amstenrade;1082;0;0,00%;1211;;0,00%;66;848;168;0;0;0;0;0;0
11150;0363;Amsterdam;395050;0;0,00%;497139;;0,00%;122429;72005;46166;126498;0;0;21391;0;6561
10871;742;Andel c.a.;587;0;0,00%;664;;0,00%;0;0;105;0;227;255;0;0;0
10822;364;Andijk;2210;0;0,00%;2387;;0,00%;542;308;0;414;946;0;0;0;0
11131;199;Angerlo;1431;0;0,00%;1536;;0,00%;0;764;667;0;0;0;0;0;0
10936;1014;Ankeveen;388;0;0,00%;426;;0,00%;38;162;144;44;0;0;0;0;0
10787;105;Anlo;2818;0;0,00%;3249;;0,00%;1084;0;1102;342;0;0;0;0;290
10344;366;Anna Paulowna;3325;0;0,00%;3762;;0,00%;1201;920;0;673;273;258;0;0;0
11075;200;Apeldoorn;39091;0;0,00%;46601;;0,00%;14071;4781;0;2269;5640;9397;2933;0;0
11296;201;Appeltern;1591;0;0,00%;1803;;0,00%;0;1360;0;0;0;231;0;0;0
10886;3;Appingedam;3786;0;0,00%;4276;;0,00%;1065;0;0;716;697;717;461;0;130
10202;885;Arcen en Velden;1941;0;0,00%;2011;;0,00%;0;0;1941;0;0;0;0;0;0
10079;487;Arkel;735;0;0,00%;799;;0,00%;368;0;0;0;115;0;252;0;0
11419;649;Arnemuiden;1348;0;0,00%;1597;;0,00%;177;0;326;0;279;266;0;300;0
10795;202;Arnhem;48010;0;0,00%;56088;;0,00%;16797;14731;0;5420;2909;4577;3379;0;197
11369;488;Asperen;907;0;0,00%;1021;;0,00%;197;0;0;0;416;0;187;107;0
10522;106;Assen;10344;0;0,00%;12899;;0,00%;4708;0;0;1093;1994;1076;1439;0;34
11373;367;Assendelft;3207;0;0,00%;3444;;0,00%;923;1251;0;833;0;0;0;0;200
10478;743;Asten;3168;0;0,00%;3550;;0,00%;0;0;3115;0;0;53;0;0;0
11147;368;Avenhorn;748;0;0,00%;805;;0,00%;406;342;0;0;0;0;0;0;0
11190;143;Avereest;5233;0;0,00%;6006;;0,00%;1081;492;0;0;1197;2092;371;0;0
11289;650;Axel;3430;0;0,00%;3969;;0,00%;513;573;352;0;930;694;161;207;0
10422;61;Baarderadeel;2645;0;0,00%;3108;;0,00%;1549;0;0;0;436;279;381;0;0
10634;651;Baarland;467;0;0,00%;530;;0,00%;0;106;361;0;0;0;0;0;0
10060;744;Baarle-Nassau;1565;0;0,00%;1751;;0,00%;0;0;1565;0;0;0;0;0;0
11411;308;Baarn;7784;0;0,00%;9413;;0,00%;2646;1338;0;641;1657;733;769;0;0
11255;886;Baexem;559;0;0,00%;661;;0,00%;0;0;559;0;0;0;0;0;0
10539;4;Baflo;1602;0;0,00%;1683;;0,00%;0;0;831;0;771;0;0;0;0
10749;745;Bakel en Milheeze;1667;0;0,00%;1928;;0,00%;0;0;1667;0;0;0;0;0;0
10943;489;Barendrecht;3329;0;0,00%;3797;;0,00%;970;0;0;0;1373;645;341;0;0
10906;203;Barneveld;8258;0;0,00%;9852;;0,00%;867;540;4971;203;0;0;0;1677;0
10156;62;Barradeel;4069;0;0,00%;4547;;0,00%;1460;0;0;0;1203;1284;0;0;122
10973;369;Barsingerhorn;1058;0;0,00%;1304;;0,00%;398;0;117;295;0;0;248;0;0
