Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;KVP;RK;PCG;VVD;CHU;ARP;Overige;CPN;PSP;SGP;GG;GPV;PC
10531;1000;Aagtekerke;392;0;0,00%;421;398;94,54%;0;0;0;186;0;0;0;0;0;0;168;0;0;38
11264;358;Aalsmeer;8208;0;0,00%;8749;8344;95,37%;2202;1672;0;2441;1222;0;0;0;186;485;0;0;0;0
11046;197;Aalten;8142;0;0,00%;8570;8327;97,16%;1558;1350;0;0;427;1819;2988;0;0;0;0;0;0;0
11104;480;Aar (Ter);2498;0;0,00%;2582;2524;97,75%;0;1587;0;0;0;335;253;103;0;0;0;0;0;220
11020;648;Aardenburg;1907;0;0,00%;2064;1998;96,80%;211;0;1304;0;0;0;114;278;0;0;0;0;0;0
10757;739;Aarle-Rixtel;1758;0;0,00%;1869;1812;96,95%;0;0;1758;0;0;0;0;0;0;0;0;0;0;0
10439;359;Abbekerk;507;0;0,00%;541;519;95,93%;0;202;0;0;0;0;0;0;0;0;0;305;0;0
11026;481;Abbenbroek;448;0;0,00%;497;468;94,16%;181;0;0;87;0;0;0;180;0;0;0;0;0;0
10712;305;Abcoude;2838;0;0,00%;3029;2880;95,08%;454;863;0;0;340;649;383;149;0;0;0;0;0;0
10199;59;Achtkarspelen;9543;0;0,00%;10306;9674;93,87%;2948;0;0;0;474;1472;3854;0;253;0;0;0;0;542
10996;1;Adorp;844;0;0,00%;870;863;99,20%;0;0;0;0;0;0;350;386;0;0;0;0;108;0
10999;2;Aduard;1221;0;0,00%;1279;1246;97,42%;386;0;0;430;277;0;0;0;0;0;0;0;128;0
10346;360;Akersloot;1392;0;0,00%;1427;1415;99,16%;0;976;0;0;0;0;0;416;0;0;0;0;0;0
11327;482;Alblasserdam;7073;0;0,00%;7668;7236;94,37%;3018;314;0;0;659;1316;801;0;0;0;965;0;0;0
10349;483;Alkemade;4113;0;0,00%;4353;4190;96,26%;0;3560;0;553;0;0;0;0;0;0;0;0;0;0
10527;361;Alkmaar;24250;0;0,00%;26147;24707;94,49%;8140;8741;0;2643;2671;0;0;0;1058;997;0;0;0;0
11053;141;Almelo;27903;0;0,00%;30110;28686;95,27%;10662;7175;0;4272;2716;0;0;127;1657;1149;0;0;145;0
10788;740;Almkerk;2462;0;0,00%;2632;2515;95,55%;193;0;0;0;0;648;1446;117;0;0;0;0;58;0
10517;484;Alpen aan den Rijn;13319;0;0,00%;14115;13499;95,64%;3131;2457;0;3170;833;3135;0;593;0;0;0;0;0;0
10710;741;Alphen;1797;0;0,00%;1887;1836;97,30%;0;0;1797;0;0;0;0;0;0;0;0;0;0;0
10922;883;Ambij;1495;0;0,00%;1590;1542;96,98%;0;990;505;0;0;0;0;0;0;0;0;0;0;0
11400;142;Ambt Delden;2621;0;0,00%;2749;2663;96,87%;0;1776;0;0;0;0;0;0;0;0;0;845;0;0
11349;485;Ameide;1049;0;0,00%;1102;1063;96,46%;364;0;0;550;0;0;0;135;0;0;0;0;0;0
11153;60;Ameland;1337;0;0,00%;1423;1374;96,56%;280;393;0;0;155;225;77;207;0;0;0;0;0;0
11372;306;Amerongen;2501;0;0,00%;2730;2564;93,92%;593;0;0;0;0;786;376;487;0;0;259;0;0;0
10948;307;Amersfoort;36925;0;0,00%;40720;37909;93,10%;11904;8978;0;9857;4075;0;0;0;732;1379;0;0;0;0
10863;486;Ammerstol;692;0;0,00%;738;713;96,61%;425;0;0;0;0;0;0;148;119;0;0;0;0;0
10151;198;Ammerzoden;1713;0;0,00%;1787;1744;97,59%;105;717;512;379;0;0;0;0;0;0;0;0;0;0
10062;884;Amstenrade;1717;0;0,00%;1767;1743;98,64%;90;0;1627;0;0;0;0;0;0;0;0;0;0;0
11150;363;Amsterdam;490654;0;0,00%;550810;507189;92,08%;174341;84673;0;46116;50719;0;0;21838;61541;50237;0;0;1189;0
10871;742;Andel c.a.;697;0;0,00%;758;708;93,40%;0;0;0;0;0;294;234;169;0;0;0;0;0;0
10822;364;Andijk;2214;0;0,00%;2314;2249;97,19%;595;435;0;0;0;0;939;0;245;0;0;0;0;0
11131;199;Angerlo;1728;0;0,00%;1803;1766;97,95%;0;1054;0;0;0;0;0;0;0;0;0;674;0;0
10936;1014;Ankeveen;580;0;0,00%;625;596;95,36%;127;213;0;155;85;0;0;0;0;0;0;0;0;0
10787;105;Anlo;3393;0;0,00%;3589;3474;96,80%;1220;0;0;0;0;0;0;2173;0;0;0;0;0;0
10344;366;Anna Paulowna;3716;0;0,00%;3888;3761;96,73%;1025;1469;0;471;515;0;0;0;236;0;0;0;0;0
11075;200;Apeldoorn;56213;0;0,00%;61689;57649;93,45%;19089;8041;1412;7116;6932;11227;0;0;595;1801;0;0;0;0
11296;201;Appeltern;1816;0;0,00%;1946;1881;96,66%;0;0;1675;0;0;0;0;0;0;0;0;0;0;141
10886;3;Appingedam;5177;0;0,00%;5690;5358;94,17%;2364;0;0;0;597;926;1048;0;242;0;0;0;0;0
10202;885;Arcen en Velden;2693;0;0,00%;2799;2747;98,14%;0;0;2693;0;0;0;0;0;0;0;0;0;0;0
