Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;KVP;RK;VVD;PCG;BP;CHU;ARP;Overige;PSP;CPN;SGP;GG;GPV;PC
11264;358;Aalsmeer;9189;0;0,00%;9894;9365;94,65%;2200;1906;0;1553;2741;0;0;0;0;419;370;0;0;0;0
11046;197;Aalten;8871;0;0,00%;9354;9073;97,00%;1225;1410;0;480;0;461;2104;3191;0;0;0;0;0;0;0
11104;480;Aar (Ter);2920;0;0,00%;3073;2963;96,42%;0;1494;343;0;0;221;468;266;0;0;0;0;0;0;128
11020;648;Aardenburg;2039;0;0,00%;2179;2107;96,70%;236;0;1462;0;0;0;0;0;0;0;0;0;341;0;0
10757;739;Aarle-Rixtel;1963;0;0,00%;2081;2027;97,41%;0;0;1963;0;0;0;0;0;0;0;0;0;0;0;0
10439;359;Abbekerk;599;0;0,00%;648;610;94,14%;0;239;0;0;0;0;0;0;360;0;0;0;0;0;0
11026;481;Abbenbroek;476;0;0,00%;532;498;93,61%;178;0;0;168;130;0;0;0;0;0;0;0;0;0;0
10712;305;Abcoude;3197;0;0,00%;3483;3269;93,86%;370;877;0;537;0;0;921;356;0;136;0;0;0;0;0
10199;59;Achtkarspelen;10715;0;0,00%;11611;10898;93,86%;2850;0;0;439;0;564;1784;4225;0;0;306;0;0;0;547
10996;1;Adorp;861;0;0,00%;908;886;97,58%;0;0;0;0;0;0;0;346;392;0;0;0;0;123;0
10999;2;Aduard;1365;0;0,00%;1452;1412;97,25%;432;0;0;322;469;0;0;0;0;0;0;0;0;142;0
10346;360;Akersloot;1724;0;0,00%;1803;1750;97,06%;233;874;370;0;0;0;0;0;247;0;0;0;0;0;0
11327;482;Alblasserdam;8464;0;0,00%;9107;8646;94,94%;3373;436;0;892;0;0;1703;772;0;357;0;931;0;0;0
10349;483;Alkemade;4712;0;0,00%;5101;4873;95,53%;0;4085;0;0;627;0;0;0;0;0;0;0;0;0;0
10527;361;Alkmaar;26880;0;0,00%;29373;27596;93,95%;7367;9213;0;3672;3133;0;0;0;0;1844;1651;0;0;0;0
11053;141;Almelo;31053;0;0,00%;33535;31980;95,36%;10135;7366;867;3155;5032;0;0;0;0;1413;2057;801;0;227;0
10788;740;Almkerk;2631;0;0,00%;2848;2721;95,54%;281;0;0;0;0;0;760;1475;0;0;0;0;0;115;0
10517;484;Alpen aan den Rijn;15832;0;0,00%;17076;16237;95,09%;3696;3111;0;1614;3485;0;3926;0;0;0;0;0;0;0;0
10710;741;Alphen;2060;0;0,00%;2177;2114;97,11%;0;0;2060;0;0;0;0;0;0;0;0;0;0;0;0
10922;883;Ambij;1776;0;0,00%;1875;1828;97,49%;0;851;925;0;0;0;0;0;0;0;0;0;0;0;0
11400;142;Ambt Delden;2809;0;0,00%;2978;2877;96,61%;0;1933;0;0;0;0;0;0;0;0;0;0;876;0;0
11349;485;Ameide;1175;0;0,00%;1240;1193;96,21%;333;0;0;0;479;0;208;0;155;0;0;0;0;0;0
11153;60;Ameland;1515;0;0,00%;1623;1553;95,69%;396;462;0;0;0;0;0;0;191;0;0;0;466;0;0
11372;306;Amerongen;2894;0;0,00%;3130;2952;94,31%;612;0;0;338;0;0;819;613;234;0;0;278;0;0;0
10948;307;Amersfoort;40103;0;0,00%;44888;41480;92,41%;10943;9135;0;5588;9987;0;0;0;464;2018;1023;0;0;945;0
10863;486;Ammerstol;672;0;0,00%;792;753;95,08%;546;0;0;0;0;0;0;0;0;0;126;0;0;0;0
10151;198;Ammerzoden;1885;0;0,00%;1984;1933;97,43%;99;291;1059;0;436;0;0;0;0;0;0;0;0;0;0
10799;362;Amstelveen;30611;0;0,00%;33911;31094;91,69%;5610;6814;0;7283;6338;2326;0;0;0;1625;434;0;0;181;0
10062;884;Amstenrade;1936;0;0,00%;1985;1961;98,79%;0;0;1936;0;0;0;0;0;0;0;0;0;0;0;0
11150;363;Amsterdam;509654;0;0,00%;577809;524075;90,70%;132811;73597;0;53829;51919;48175;0;0;32109;48350;66818;0;0;1309;737
10871;742;Andel c.a.;834;0;0,00%;882;846;95,92%;0;0;0;0;0;0;316;227;181;0;0;0;0;0;110
10822;364;Andijk;2389;0;0,00%;2489;2419;97,19%;0;448;0;0;0;342;0;857;487;0;255;0;0;0;0
11131;199;Angerlo;1862;0;0,00%;1941;1890;97,37%;0;985;171;0;0;0;0;0;0;0;0;0;706;0;0
10787;105;Anlo;3539;0;0,00%;3760;3641;96,84%;1579;0;0;452;0;0;0;0;1316;0;0;0;0;0;192
10344;366;Anna Paulowna;3870;0;0,00%;4125;3924;95,13%;969;1447;0;681;506;0;0;0;0;0;267;0;0;0;0
11075;200;Apeldoorn;62816;0;0,00%;69026;64181;92,98%;14836;8456;0;6427;7195;10839;12252;0;0;2061;750;0;0;0;0
11296;201;Appeltern;1998;0;0,00%;2117;2056;97,12%;0;1835;0;0;0;0;0;0;0;0;0;0;0;0;163
10886;3;Appingedam;5422;0;0,00%;5953;5629;94,56%;2028;0;0;434;0;0;917;1029;686;280;0;0;0;48;0
10202;885;Arcen en Velden;3138;0;0,00%;3255;3184;97,82%;0;0;3138;0;0;0;0;0;0;0;0;0;0;0;0
10079;487;Arkel;1379;0;0,00%;1454;1406;96,70%;790;0;0;297;292;0;0;0;0;0;0;0;0;0;0
11419;649;Arnemuiden;1544;0;0,00%;1702;1604;94,24%;184;0;0;0;0;0;423;203;327;0;0;407;0;0;0
10795;202;Arnhem;73973;0;0,00%;81870;76120;92,98%;22533;20809;0;8376;10893;6104;0;0;910;2583;1411;0;0;354;0
11369;488;Asperen;1098;0;0,00%;1178;1119;94,99%;299;0;0;181;0;0;197;272;0;0;0;149;0;0;0
10522;106;Assen;17650;0;0,00%;19866;18286;92,05%;7766;759;0;2830;0;0;1843;2578;0;584;456;0;0;834;0
11373;367;Assendelft;4110;0;0,00%;4338;4176;96,27%;990;1641;0;299;285;0;0;0;0;222;673;0;0;0;0
10478;743;Asten;5241;0;0,00%;5573;5438;97,58%;0;0;5241;0;0;0;0;0;0;0;0;0;0;0;0
11147;368;Avenhorn;934;0;0,00%;961;946;98,44%;0;530;0;0;0;0;0;0;404;0;0;0;0;0;0
11190;143;Avereest;6408;0;0,00%;7033;6486;92,22%;1302;621;0;648;0;605;1924;1235;0;0;0;0;0;73;0
11289;650;Axel;4719;0;0,00%;5154;4909;95,25%;917;1028;0;0;2022;0;0;0;752;0;0;0;0;0;0
10422;61;Baarderadeel;2834;0;0,00%;3037;2903;95,59%;1141;0;0;539;0;0;342;0;321;0;0;0;491;0;0
10634;651;Baarland;422;0;0,00%;460;439;95,43%;0;101;0;0;97;0;0;0;135;0;0;0;0;0;89
10060;744;Baarle-Nassau;2321;0;0,00%;2480;2401;96,81%;0;0;2321;0;0;0;0;0;0;0;0;0;0;0;0
11411;308;Baarn;12763;0;0,00%;14168;13036;92,01%;2717;2051;0;2263;3504;1550;0;0;0;532;146;0;0;0;0
