Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;RK;Overige;D66;PAK;SGP;CPN;PPR;PSP;GPV;PC;GG;PCG;BP;DS70
11084;738;Aalburg;5327;17;0,32%;6342;5344;84,26%;1624;1003;527;0;611;0;0;1562;0;0;0;0;0;0;0;0;0
11264;358;Aalsmeer;10785;36;0,33%;13950;10821;77,57%;4841;2929;2577;0;0;0;0;0;200;0;0;0;238;0;0;0;0
11046;197;Aalten;9365;31;0,33%;11823;9396;79,47%;6720;0;839;0;0;0;1683;0;0;0;0;123;0;0;0;0;0
11104;480;Aar (Ter);3831;17;0,44%;4904;3848;78,47%;2450;0;744;0;0;0;489;148;0;0;0;0;0;0;0;0;0
11020;648;Aardenburg;2329;21;0,90%;2607;2350;90,14%;780;313;0;0;732;0;0;0;0;0;0;0;0;504;0;0;0
10757;739;Aarle-Rixtel;2803;17;0,61%;3339;2820;84,46%;0;0;0;2803;0;0;0;0;0;0;0;0;0;0;0;0;0
10439;359;Abbekerk;1009;9;0,89%;1376;1018;73,98%;374;299;0;0;336;0;0;0;0;0;0;0;0;0;0;0;0
11026;481;Abbenbroek;687;4;0,58%;828;691;83,45%;0;272;256;0;0;0;0;0;0;0;0;0;159;0;0;0;0
10712;305;Abcoude;4387;11;0,25%;5162;4398;85,20%;1828;0;1052;0;0;296;1106;0;0;0;0;105;0;0;0;0;0
10199;59;Achtkarspelen;13645;52;0,38%;16583;13697;82,60%;6943;4445;828;0;504;0;0;281;70;0;0;574;0;0;0;0;0
10996;1;Adorp;1110;3;0,27%;1203;1113;92,52%;399;0;0;0;326;0;230;0;0;0;0;155;0;0;0;0;0
10999;2;Aduard;1627;7;0,43%;1825;1634;89,53%;592;571;292;0;0;0;0;0;0;0;0;172;0;0;0;0;0
10346;360;Akersloot;2472;3;0,12%;3094;2475;79,99%;1007;0;425;0;505;0;535;0;0;0;0;0;0;0;0;0;0
11327;482;Alblasserdam;9096;44;0,48%;11787;9140;77,54%;2036;3425;732;0;1721;0;0;1182;0;0;0;0;0;0;0;0;0
10349;483;Alkemade;6202;23;0,37%;8183;6225;76,07%;3460;0;1515;0;350;0;877;0;0;0;0;0;0;0;0;0;0
10527;361;Alkmaar;31482;107;0,34%;47080;31589;67,10%;9659;9802;4763;0;2096;2107;1753;0;1113;0;0;189;0;0;0;0;0
11053;141;Almelo;30769;115;0,37%;41938;30884;73,64%;11443;0;3840;0;1302;0;12680;0;1009;0;0;367;0;0;0;128;0
10517;484;Alpen a/d Rijn;22273;68;0,31%;32159;22341;69,47%;10507;4952;4546;0;0;0;1896;0;137;0;0;235;0;0;0;0;0
10710;741;Alphen en Riel;3038;18;0,59%;3661;3056;83,47%;0;0;209;2578;251;0;0;0;0;0;0;0;0;0;0;0;0
11400;142;Ambt Delden;3151;23;0,73%;3577;3174;88,73%;2389;0;0;0;762;0;0;0;0;0;0;0;0;0;0;0;0
11349;485;Ameide;1719;5;0,29%;1908;1724;90,36%;0;552;232;0;0;0;0;0;0;0;0;0;0;0;935;0;0
11153;60;Ameland;1940;5;0,26%;2035;1945;95,58%;0;271;106;0;1563;0;0;0;0;0;0;0;0;0;0;0;0
11372;306;Amerongen;3518;9;0,26%;4224;3527;83,50%;1623;825;717;0;0;0;0;353;0;0;0;0;0;0;0;0;0
10948;307;Amersfoort;43064;201;0,47%;60968;43265;70,96%;15825;10927;7842;0;762;3454;1442;790;410;0;0;1612;0;0;0;0;0
10863;486;Ammerstol;949;15;1,58%;1083;964;89,01%;0;446;0;0;450;0;0;0;53;0;0;0;0;0;0;0;0
10151;198;Ammerzoden;2331;12;0,51%;2640;2343;88,75%;893;389;356;0;357;0;0;0;0;0;0;0;336;0;0;0;0
10799;362;Amstelveen;38998;156;0,40%;51711;39154;75,72%;12048;7959;11652;0;0;4037;0;0;457;1643;1202;0;0;0;0;0;0
10062;884;Amstenrade;2171;19;0,88%;2407;2190;90,98%;0;0;0;2171;0;0;0;0;0;0;0;0;0;0;0;0;0
11150;363;Amsterdam;357658;1356;0,38%;542662;359014;66,16%;61646;137648;53905;0;6430;27737;0;0;38402;9653;19498;1098;0;0;0;604;1037
