Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;D66;GL;SGP;SP;GPV;CD;RPF
;738;Aalburg;6176;20;0,32%;7734;6196;80,11%;1102;644;406;0;0;1487;0;0;0;0
;358;Aalsmeer;11067;47;0,42%;17231;11114;64,50%;4309;1817;2309;1362;0;0;0;0;0;0
;197;Aalten;9921;21;0,21%;13692;9942;72,61%;5563;1612;841;0;0;0;0;0;0;305
;648;Aardenburg;2495;11;0,44%;2949;2506;84,98%;594;253;201;180;0;0;0;0;0;0
;739;Aarle-Rixtel;3367;7;0,21%;4339;3374;77,76%;1084;368;558;0;0;0;0;0;0;0
;305;Abcoude;4486;29;0,65%;5946;4515;75,93%;1817;834;919;916;0;0;0;0;0;0
;59;Achtkarspelen;14740;52;0,35%;19977;14792;74,05%;5774;4387;776;0;0;0;0;917;0;0
;360;Akersloot;2881;12;0,42%;3832;2893;75,50%;879;712;519;0;0;0;0;0;0;0
;482;Alblasserdam;8947;37;0,41%;13310;8984;67,50%;2155;3240;1192;0;0;1515;0;0;0;0
;613;Albrandswaard;7352;23;0,31%;11070;7375;66,62%;2506;1342;1709;1450;0;0;0;345;0;0
;483;Alkemade;6238;22;0,35%;10367;6260;60,38%;3088;1082;1408;0;660;0;0;0;0;0
;361;Alkmaar;36668;135;0,37%;67217;36803;54,75%;7774;8560;3946;5230;4794;0;714;504;0;0
;141;Almelo;28142;117;0,42%;46768;28259;60,42%;9525;9796;3460;2839;777;0;0;0;0;0
;34;Almere;26893;89;0,33%;49845;26982;54,13%;3009;6975;5721;5619;2591;0;0;346;0;0
;484;Alphen aan den Rijn;27280;82;0,30%;44509;27362;61,48%;7958;4220;6328;3267;1537;669;1769;0;0;0
;741;Alphen en Riel;3312;14;0,42%;4561;3326;72,92%;1051;0;243;0;0;0;0;0;0;0
;142;Ambt Delden;3427;3;0,09%;4047;3430;84,75%;2218;308;445;0;0;0;0;0;0;0
;60;Ameland;2217;11;0,50%;2393;2228;93,10%;512;332;164;0;0;0;0;0;0;0
;306;Amerongen;3572;16;0,45%;5059;3588;70,92%;1262;1007;554;0;0;0;0;0;0;0
;307;Amersfoort;42630;76;0,18%;76529;42706;55,80%;9835;7154;5946;8687;6503;0;0;3007;0;0
;198;Ammerzoden;2202;12;0,54%;3200;2214;69,19%;1531;671;0;0;0;0;0;0;0;0
;362;Amstelveen;35452;133;0,38%;56573;35585;62,90%;8997;6044;10731;6657;3023;0;0;0;0;0
;363;Amsterdam;276684;1953;0,71%;545970;278637;51,04%;31352;72269;39217;50557;42656;0;1878;0;12177;0
;364;Andijk;2983;12;0,40%;4249;2995;70,49%;1315;583;377;0;371;0;0;0;0;337
;199;Angerlo;2690;10;0,37%;3340;2700;80,84%;956;665;0;0;0;0;0;0;0;0
;105;Anloo;4308;15;0,35%;5775;4323;74,86%;288;1546;922;0;0;0;0;0;0;0
