Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;LOG;VVD;D66;GL;LCG;CD;SP;LPG;SGP;Overige landelijke partijen;GPV;RPF;CP86
;738;Aalburg;6502;19;0,29%;7976;6521;81,76%;1240;505;2283;598;0;0;0;0;0;441;1435;0;0;0;0
;358;Aalsmeer;10765;17;0,16%;17113;10782;63,00%;3262;1543;1757;2877;1326;0;0;0;0;0;0;0;0;0;0
;197;Aalten;10227;30;0,29%;13938;10257;73,59%;4438;985;0;1151;806;0;1012;0;0;1286;0;0;0;549;0
;739;Aarle-Rixtel;3237;18;0,56%;4491;3255;72,48%;836;263;589;665;0;0;0;0;0;884;0;0;0;0;0
;305;Abcoude;4563;22;0,48%;6107;4585;75,08%;1376;1017;0;1187;983;0;0;0;0;0;0;0;0;0;0
;59;Achtkarspelen;14489;61;0,42%;20623;14550;70,55%;4241;3098;4081;907;0;0;1210;0;0;0;0;0;952;0;0
;360;Akersloot;2611;6;0,23%;3692;2617;70,88%;551;696;893;471;0;0;0;0;0;0;0;0;0;0;0
;482;Alblasserdam;9364;64;0,68%;13487;9428;69,90%;2007;2381;0;1163;926;0;0;0;0;1196;1691;0;0;0;0
;613;Albrandswaard;8092;25;0,31%;11727;8117;69,22%;1732;927;1579;2523;920;0;411;0;0;0;0;0;0;0;0
;483;Alkemade;7130;40;0,56%;10601;7170;67,64%;3194;1260;0;1963;0;713;0;0;0;0;0;0;0;0;0
;361;Alkmaar;41602;59;0,14%;69494;41661;59,95%;7134;7809;5543;5237;5188;5397;0;0;2780;0;0;269;663;0;1582
;141;Almelo;30304;196;0,65%;49016;30500;62,22%;7975;7738;1908;3637;3816;1273;1102;1781;1074;0;0;0;0;0;0
;34;Almere;41459;265;0,64%;68271;41724;61,12%;3768;6562;3256;10442;9610;3873;0;2393;0;0;0;0;669;0;886
;484;Alphen aan den Rijn;30250;5;0,02%;48982;30255;61,77%;5946;2866;1128;6816;4144;1795;2125;0;3681;0;604;1145;0;0;0
;741;Alphen en Riel;3396;8;0,24%;4702;3404;72,39%;968;0;1903;314;0;0;0;0;0;211;0;0;0;0;0
;142;Ambt Delden;3321;12;0,36%;4024;3333;82,83%;1786;320;487;728;0;0;0;0;0;0;0;0;0;0;0
;60;Ameland;2319;11;0,47%;2551;2330;91,34%;508;467;1055;177;112;0;0;0;0;0;0;0;0;0;0
;306;Amerongen;3919;9;0,23%;5450;3928;72,07%;1100;625;0;744;663;0;787;0;0;0;0;0;0;0;0
;307;Amersfoort;51925;95;0,18%;84369;52020;61,66%;9551;8006;0;9809;11020;5469;1793;3209;0;0;0;0;3068;0;0
;198;Ammerzoden;2480;12;0,48%;3333;2492;74,77%;1190;0;0;0;297;0;0;0;0;993;0;0;0;0;0
;362;Amstelveen;39944;74;0,19%;58863;40018;67,98%;6335;5259;5820;11198;6345;3718;0;1269;0;0;0;0;0;0;0
;363;Amsterdam;309869;3437;1,11%;544304;313306;57,56%;23014;81470;11212;49605;49311;38982;0;24506;6754;1008;0;16658;1835;0;5514
;364;Andijk;3112;14;0,45%;4483;3126;69,73%;1178;552;0;578;0;376;0;0;0;0;0;0;0;428;0
;199;Angerlo;2679;10;0,37%;3491;2689;77,03%;938;562;1179;0;0;0;0;0;0;0;0;0;0;0;0
;105;Anloo;4583;12;0,26%;6158;4595;74,62%;248;1393;1899;1043;0;0;0;0;0;0;0;0;0;0;0
;366;Anna Paulowna;6165;27;0,44%;9463;6192;65,43%;1599;1566;0;2133;867;0;0;0;0;0;0;0;0;0;0
;200;Apeldoorn;71233;209;0,29%;115151;71442;62,04%;15465;12147;6294;12328;12289;5877;4522;0;0;0;2311;0;0;0;0
;3;Appingedam;6340;24;0,38%;9837;6364;64,69%;1390;1871;1613;429;1037;0;0;0;0;0;0;0;0;0;0
;885;Arcen en Velden;4713;41;0,87%;6697;4754;70,99%;2075;0;1054;614;0;0;0;0;0;970;0;0;0;0;0
;649;Arnemuiden;2639;7;0,27%;3401;2646;77,80%;465;688;0;292;0;0;0;0;0;0;605;0;0;589;0
;202;Arnhem;60681;398;0,66%;106352;61079;57,43%;10206;13395;3613;9168;9884;6268;1924;1778;3381;0;0;0;0;0;1064
;106;Assen;28041;105;0,37%;39628;28146;71,03%;3946;6649;5527;3424;2993;1867;2494;0;710;0;0;0;0;0;431
