Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;Lokale partijen;CDA;VVD;GL;SP;CU;D66;SGP;CU_SGP;PvdA_GL;FNP;PvdA-GL-D66;LPF;Verenigde Senioren Partij;GL/D66;PvdA/D66;Duurzaam Nederland;GL/De Groenen;Nieuwe Communistische Partij;Nieuw Rechts;Partij voor het Noorden;PvdA/GL/D66/SP;NVU;VVD/D66;PvdA/GL/SP;GL/SP/D66;Nederland Mobiel;VIP Vooruitstrevende Integratie Partij
10787;1680;Aa en Hunze;13288;46;0,35%;19875;13334;67,09%;5052;3375;1143;2461;1257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11084;738;Aalburg;6372;15;0,24%;8890;6387;71,84%;823;1028;1322;601;0;0;1162;0;1436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11264;358;Aalsmeer;10355;44;0,42%;18820;10399;55,26%;0;5041;3141;2173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10712;305;Abcoude;4490;19;0,42%;6368;4509;70,81%;528;1215;890;978;379;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10199;59;Achtkarspelen;13565;37;0,27%;21562;13602;63,08%;3707;1075;3916;684;0;0;1700;0;0;0;0;2483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11327;482;Alblasserdam;9063;30;0,33%;13851;9093;65,65%;3240;0;2192;1186;0;0;1053;0;1392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10124;613;Albrandswaard;9960;49;0,49%;16129;10009;62,06%;2134;3865;1178;2155;0;0;0;0;0;628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10349;483;Alkemade;8147;26;0,32%;11037;8173;74,05%;2121;1910;2342;1774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10527;361;Alkmaar;40111;113;0,28%;73530;40224;54,70%;11050;9623;4320;4348;3181;5634;975;980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11053;141;Almelo;30338;83;0,27%;54705;30421;55,61%;10155;3691;6502;2934;1816;2434;1283;905;0;0;0;0;0;0;0;0;0;0;0;0;618;0;0;0;0;0;0;0;0
10018;34;Almere;60393;231;0,38%;126475;60624;47,93%;16606;12640;4610;10172;4440;5628;2336;2183;0;0;0;0;0;0;1778;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10517;484;Alphen aan den Rijn;29314;94;0,32%;54233;29408;54,23%;5601;4935;4408;5730;1719;3418;2466;1037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10710;1723;Alphen-Chaam;4915;8;0,16%;7275;4923;67,67%;0;3002;1613;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11153;60;Ameland;2322;6;0,26%;2659;2328;87,55%;340;1246;486;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10948;307;Amersfoort;59548;203;0,34%;101869;59751;58,65%;14147;12077;8057;8450;5865;5388;5322;0;0;0;0;0;0;0;0;0;0;0;0;242;0;0;0;0;0;0;0;0;0
10799;362;Amstelveen;34623;106;0,31%;60173;34729;57,72%;7447;5419;4012;8771;5195;0;1191;2588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11150;363;Amsterdam;303852;1382;0,45%;579276;305234;52,69%;119651;21845;12715;49172;41563;40637;4433;12338;0;0;0;0;0;0;0;0;0;662;0;511;0;0;0;0;0;0;0;0;325
10822;364;Andijk;3132;12;0,38%;4948;3144;63,54%;812;0;879;680;382;0;379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10344;366;Anna Paulowna;6236;21;0,34%;10558;6257;59,26%;1791;1088;1786;1571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11075;200;Apeldoorn;67435;279;0,41%;120498;67714;56,20%;16336;13370;10570;9551;6702;0;4839;2509;2882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;676;0;0;0;0;0
10886;3;Appingedam;5822;62;1,06%;9770;5884;60,23%;2557;1382;1105;432;0;0;0;346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10202;885;Arcen en Velden;4313;34;0,79%;6893;4347;63,06%;0;1939;1810;564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10795;202;Arnhem;55409;212;0,38%;111317;55621;49,97%;16125;8702;5098;7339;5165;8540;2330;1749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361;0;0;0;0;0
10522;106;Assen;29067;103;0,35%;47892;29170;60,91%;9425;3954;3512;3339;1700;2604;3626;907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10478;743;Asten;8036;29;0,36%;12389;8065;65,10%;0;4206;2097;1067;342;0;0;324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10060;744;Baarle-Nassau;3187;8;0,25%;5442;3195;58,71%;0;1693;1280;214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11411;308;Baarn;11860;72;0,61%;18815;11932;63,42%;2578;2121;2122;2883;950;0;781;425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10943;489;Barendrecht;18317;108;0,59%;30742;18425;59,93%;4118;0;3949;4887;1923;0;0;936;0;2504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10906;203;Barneveld;26636;29;0,11%;35970;26665;74,13%;0;7410;5374;3139;0;0;4248;0;6009;0;0;0;0;456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10425;5;Bedum;5568;33;0,59%;7993;5601;70,07%;1566;1200;1281;513;0;0;1008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11374;888;Beek;8613;47;0,55%;13346;8660;64,89%;0;4823;2740;1050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10816;370;Beemster;4356;12;0,28%;6514;4368;67,06%;1168;1688;614;886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
