Partij;# Stemmen;Percentage;# Zetels
PvdA;1628933;23,58%;2004
Lokale partijen;1526915;22,10%;2043
CDA;1162829;16,83%;1749
VVD;958554;13,87%;1250
GL;416585;6,03%;417
SP;392512;5,68%;332
CU;251416;3,64%;346
D66;187010;2,71%;148
SGP;113196;1,64%;182
CU_SGP;84186;1,22%;103
PvdA_GL;52828;0,76%;82
FNP;29508;0,43%;54
PvdA-GL-D66;28314;0,41%;53
LPF;17804;0,26%;10
Verenigde Senioren Partij;11346;0,16%;8
GL/D66;7677;0,11%;10
PvdA/D66;7558;0,11%;12
Duurzaam Nederland;6066;0,09%;1
GL/De Groenen;5780;0,08%;5
Nieuwe Communistische Partij;4267;0,06%;6
Nieuw Rechts;4018;0,06%;1
Partij voor het Noorden;2622;0,04%;1
PvdA/GL/D66/SP;2278;0,03%;4
NVU;1923;0,03%;0
VVD/D66;1891;0,03%;4
PvdA/GL/SP;1447;0,02%;3
GL/SP/D66;891;0,01%;2
Nederland Mobiel;624;0,01%;0
VIP Vooruitstrevende Integratie Partij;502;0,01%;0
