Partij;# Stemmen;Percentage;# Zetels
Lokale partijen;1557298;23,66%;2275
PvdA;1035948;15,74%;1251
VVD;1031983;15,68%;1432
CDA;974232;14,80%;1530
D66;538196;8,18%;546
GL;442793;6,73%;436
SP;271956;4,13%;249
CU;247648;3,76%;331
SGP;116371;1,77%;197
Trots op Nederland Lijst Rita Verdonk;80981;1,23%;60
CU/SGP;67909;1,03%;90
PVV;50529;0,77%;17
PvdA/GL;37208;0,57%;62
FNP;26841;0,41%;52
PvdA/GL/D66;23400;0,36%;44
PvdD;19717;0,30%;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verenigde Senioren Partij;14234;0,22%;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GL/D66;13557;0,21%;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PvdA/D66;6803;0,10%;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PvdA/GL/D66/SP;6533;0,10%;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VVD/D66;5159;0,08%;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederlandse Moslim Partij;3266;0,05%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Groenen;2911;0,04%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwe Communistische Partij;2177;0,03%;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij voor Mens en Spirit;1369;0,02%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederlandse Klokkenluiders Partij;1336;0,02%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederlandse Volks-Unie;975;0,01%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
