Partij;# Stemmen;Percentage;# Zetels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LP (Lokale partijen);1858034;27,77%;2602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDA;965748;14,43%;1499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VVD;816967;12,21%;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Democraten 66 (D66);807179;12,06%;824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij van de Arbeid (P.v.d.A.);685735;10,25%;799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP (Socialistische Partij);441627;6,60%;440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GROENLINKS;360114;5,38%;354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ChristenUnie;271368;4,06%;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staatkundig Gereformeerde Partij (S.G.P.);131270;1,96%;205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ChristenUnie/SGP;83420;1,25%;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PvdA/GroenLinks;47586;0,71%;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PVV (Partij voor de Vrijheid);42378;0,63%;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij voor de Dieren;35055;0,52%;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PvdA/D66/GroenLinks;27376;0,41%;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OPA;27165;0,41%;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FNP;23573;0,35%;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verenigde Senioren Partij;14016;0,21%;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TROTS (Trots op Nederland);11628;0,17%;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D66/GroenLinks;9158;0,14%;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piratenpartij;8053;0,12%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PvdA/D66;5294;0,08%;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Libertarische Partij (LP);3344;0,05%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VVD/D66;3255;0,05%;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TROTS/OPA;2072;0,03%;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij voor het Noorden;1700;0,03%;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Groenen;1534;0,02%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basis Inkomen Partij (BIP);1445;0,02%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artikel50;1269;0,02%;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederland Duurzaam;1154;0,02%;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JEZUS LEEFT;1107;0,02%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groen Liberaal;800;0,01%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij voor Zeeland;655;0,01%;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij van de Toekomst (PvdT);459;0,01%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij van de Rede - ASP;277;0,00%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederland Samen;55;0,00%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
