Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;Overige partijen met 1 of meer zetels;KVP;ARP;VVD;CPN;CHU;SGP;Overige partijen zonder zetels
10531;1000;Aagtekerke;389;0;0,00%;438;;0,00%;0;176;0;53;0;0;0;160;0
11264;358;Aalsmeer;6205;0;0,00%;6787;;0,00%;1515;2114;1180;0;1028;368;0;0;0
11046;197;Aalten;6518;0;0,00%;7257;;0,00%;1303;462;1048;2306;0;0;1399;0;0
11104;480;Aar (Ter);2016;0;0,00%;2168;;0,00%;0;807;1209;0;0;0;0;0;0
11020;648;Aardenburg;1848;0;0,00%;2027;;0,00%;0;1521;0;207;0;0;0;0;120
10757;739;Aarle-Rixtel;1458;0;0,00%;1591;;0,00%;0;1458;0;0;0;0;0;0;0
10439;359;Abbekerk;432;0;0,00%;496;;0,00%;0;265;167;0;0;0;0;0;0
11026;481;Abbenbroek;407;0;0,00%;443;;0,00%;0;373;0;0;0;0;0;0;34
10712;305;Abcoude;1754;0;0,00%;1932;;0,00%;249;0;657;261;0;0;587;0;0
10199;59;Achtkarspelen;8242;0;0,00%;9207;;0,00%;2235;389;0;3402;403;424;1389;0;0
10524;1005;Achttienhove;415;0;0,00%;459;;0,00%;0;212;97;106;0;0;0;0;0
10996;1;Adorp;835;0;0,00%;877;;0,00%;0;504;0;331;0;0;0;0;0
10999;2;Aduard;1110;0;0,00%;1206;;0,00%;319;0;0;462;255;0;74;0;0
10346;360;Akersloot;1070;0;0,00%;1221;;0,00%;0;407;663;0;0;0;0;0;0
11327;482;Alblasserdam;4044;0;0,00%;4447;;0,00%;1339;414;0;351;0;0;1113;708;119
10495;1007;Alem c.a.;648;0;0,00%;707;;0,00%;0;599;0;0;0;0;0;0;49
10349;483;Alkemade;3105;0;0,00%;3439;;0,00%;0;506;2599;0;0;0;0;0;0
