Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;KVP;RK;VVD;ARP;CHU;PCG;CPN;Overige partijen;SGP;KNP;GG;GPV;PC
10531;1000;Aagtekerke;389;0;0,00%;428;;0,00%;0;0;0;0;0;0;185;0;0;158;0;0;0;46
11264;358;Aalsmeer;6869;0;0,00%;7320;;0,00%;1974;1381;0;996;673;0;1543;302;0;0;0;0;0;0
11046;197;Aalten;7259;0;0,00%;7685;;0,00%;1313;1210;0;0;2680;1581;0;0;475;0;0;0;0;0
11104;480;Aar (Ter);2195;0;0,00%;2296;;0,00%;0;1324;0;0;0;228;0;0;0;0;0;643;0;0
11020;648;Aardenburg;1958;0;0,00%;2112;;0,00%;200;0;1296;0;175;0;0;0;0;0;0;0;0;287
10757;739;Aarle-Rixtel;1526;0;0,00%;1647;;0,00%;0;0;1526;0;0;0;0;0;0;0;0;0;0;0
10439;359;Abbekerk;452;0;0,00%;498;;0,00%;0;177;0;0;0;0;0;0;0;0;0;275;0;0
10712;305;Abcoude;1967;0;0,00%;2087;;0,00%;322;726;0;0;313;606;0;0;0;0;0;0;0;0
10199;59;Achtkarspelen;8971;0;0,00%;9534;;0,00%;2552;0;0;518;3607;1415;0;465;0;0;0;0;414;0
10524;1005;Achttienhove;460;0;0,00%;510;;0,00%;0;109;0;0;115;0;0;0;0;0;0;0;0;236
10996;1;Adorp;830;0;0,00%;853;;0,00%;0;0;0;0;0;0;353;0;396;0;0;0;81;0
10999;2;Aduard;1236;0;0,00%;1289;;0,00%;370;0;0;281;428;59;0;0;0;0;0;0;98;0
10346;360;Akersloot;1202;0;0,00%;1275;;0,00%;153;812;0;0;0;0;0;0;237;0;0;0;0;0
11327;482;Alblasserdam;4937;0;0,00%;5368;;0,00%;1902;0;0;538;483;1179;0;76;0;759;0;0;0;0
10495;1007;Alem c.a.;728;0;0,00%;770;;0,00%;0;0;728;0;0;0;0;0;0;0;0;0;0;0
10349;483;Alkemade;3445;0;0,00%;3690;;0,00%;0;2889;0;0;0;0;556;0;0;0;0;0;0;0
10527;361;Alkmaar;21775;0;0,00%;23477;;0,00%;7223;7720;0;2426;0;0;2366;1360;680;0;0;0;0;0
11053;141;Almelo;23794;0;0,00%;25827;;0,00%;8905;5514;0;2509;0;0;4379;2349;0;0;0;0;138;0
10788;740;Almkerk;2316;0;0,00%;2452;;0,00%;250;0;0;0;1201;458;0;0;129;0;0;0;89;189
10517;484;Alpen aan den Rijn;10812;0;0,00%;11553;;0,00%;2153;2300;0;652;2701;3006;0;0;0;0;0;0;0;0
10710;741;Alphen;1575;0;0,00%;1687;;0,00%;0;0;1575;0;0;0;0;0;0;0;0;0;0;0
10922;883;Ambij;1298;0;0,00%;1411;;0,00%;166;0;1132;0;0;0;0;0;0;0;0;0;0;0
