Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;KVP;VVD;RK;PCG;ARP;CHU;CPN;Overige partijen;SGP;PSP;GG;GPV;PC
10531;1000;Aagtekerke;377;0;0,00%;418;388;92,82%;0;0;0;0;188;0;0;0;49;140;0;0;0;0
11264;358;Aalsmeer;7755;0;0,00%;8143;7848;96,38%;1848;1555;1525;0;2271;0;0;175;0;0;381;0;0;0
11046;197;Aalten;7739;0;0,00%;8144;7907;97,09%;1476;1330;0;0;0;2910;1490;0;533;0;0;0;0;0
11104;480;Aar (Ter);2347;0;0,00%;2430;2376;97,78%;0;1454;0;0;455;292;0;0;146;0;0;0;0;0
11020;648;Aardenburg;1952;0;0,00%;2122;2022;95,29%;224;0;0;1320;0;153;0;0;0;0;0;0;0;255
10757;739;Aarle-Rixtel;1634;0;0,00%;1772;1724;97,29%;0;0;0;1634;0;0;0;0;0;0;0;0;0;0
10439;359;Abbekerk;510;0;0,00%;544;513;94,30%;169;194;0;0;0;0;0;0;147;0;0;0;0;0
11026;481;Abbenbroek;445;0;0,00%;486;474;97,53%;99;0;0;0;121;0;0;0;225;0;0;0;0;0
10712;305;Abcoude;2232;0;0,00%;2369;2261;95,44%;215;787;0;0;0;302;541;0;387;0;0;0;0;0
10199;59;Achtkarspelen;9276;0;0,00%;9942;9430;94,85%;2815;0;565;0;0;3668;1468;354;0;0;0;0;406;0
10996;1;Adorp;834;0;0,00%;866;846;97,69%;0;0;0;0;0;370;0;0;396;0;0;0;68;0
10999;2;Aduard;1258;0;0,00%;1295;1280;98,84%;366;0;323;0;448;0;0;0;0;0;0;0;121;0
10346;360;Akersloot;1308;0;0,00%;1356;1325;97,71%;156;924;0;0;0;0;0;0;228;0;0;0;0;0
11327;482;Alblasserdam;6537;0;0,00%;7020;6680;95,16%;2511;289;791;0;0;698;1322;0;0;926;0;0;0;0
10349;483;Alkemade;3830;0;0,00%;4032;3914;97,07%;0;3259;0;0;571;0;0;0;0;0;0;0;0;0
10527;361;Alkmaar;23259;0;0,00%;24934;23748;95,24%;7485;8247;3542;0;2579;0;0;906;500;0;0;0;0;0
11053;141;Almelo;26544;0;0,00%;28483;27318;95,91%;9951;6585;3727;0;4259;0;0;1845;0;0;0;0;177;0
10788;740;Almkerk;2480;0;0,00%;2621;2527;96,41%;191;0;0;0;0;1402;596;0;203;0;0;0;88;0
10517;484;Alpen aan den/ Rijn;11962;0;0,00%;12595;12124;96,26%;2380;2071;809;0;2838;0;2982;128;754;0;0;0;0;0
10710;741;Alphen;1698;0;0,00%;1763;1740;98,70%;0;0;0;1698;0;0;0;0;0;0;0;0;0;0
10922;883;Ambij;1455;0;0,00%;1518;1487;97,96%;129;1030;0;296;0;0;0;0;0;0;0;0;0;0
11400;142;Ambt Delden;2521;0;0,00%;2638;2551;96,70%;0;1697;0;0;0;0;0;0;824;0;0;0;0;0
11349;485;Ameide;1065;0;0,00%;1099;1075;97,82%;390;0;0;0;0;393;128;0;111;43;0;0;0;0
11153;60;Ameland;1271;0;0,00%;1378;1310;95,07%;0;348;0;0;0;140;265;0;0;0;0;518;0;0
11372;306;Amerongen;2238;0;0,00%;2455;2294;93,44%;461;0;0;0;0;348;673;0;487;0;0;0;0;269
10948;307;Amersfoort;35666;0;0,00%;39360;36709;93,26%;10712;8591;5807;0;8845;0;0;937;0;0;0;0;774;0
10863;486;Ammerstol;674;0;0,00%;716;691;96,51%;412;0;0;0;0;0;0;113;149;0;0;0;0;0
10151;198;Ammerzoden;1654;0;0,00%;1756;1675;95,39%;105;841;0;334;374;0;0;0;0;0;0;0;0;0
10062;884;Amstenrade;1620;0;0,00%;1694;1655;97,70%;99;0;0;1102;0;0;0;0;419;0;0;0;0;0
11150;363;Amsterdam;501021;0;0,00%;555852;520450;93,63%;152804;87734;98859;0;49050;0;0;67542;14786;0;27714;0;2532;0
10871;742;Andel c.a.;672;0;0,00%;742;680;91,64%;89;0;0;0;0;237;277;0;0;69;0;0;0;0
10822;364;Andijk;2189;0;0,00%;2287;2233;97,64%;651;378;0;0;0;940;0;220;0;0;0;0;0;0
11131;199;Angerlo;1723;0;0,00%;1768;1755;99,26%;0;1021;0;0;0;0;0;0;702;0;0;0;0;0
10936;1014;Ankeveen;492;0;0,00%;534;512;95,88%;106;223;0;0;163;0;0;0;0;0;0;0;0;0
10787;105;Anlo;3374;0;0,00%;3582;3447;96,23%;1319;0;0;0;0;0;0;0;2055;0;0;0;0;0
10344;366;Anna Paulowna;3696;0;0,00%;3862;3750;97,10%;1109;1333;518;0;534;0;0;202;0;0;0;0;0;0
11075;200;Apeldoorn;52240;0;0,00%;57810;53921;93,27%;16458;7284;9243;0;6361;0;11202;1000;692;0;0;0;0;0
11296;201;Appeltern;1819;0;0,00%;1925;1879;97,61%;0;1665;0;0;0;0;154;0;0;0;0;0;0;0
10886;3;Appingedam;5199;0;0,00%;5657;5392;95,32%;2234;0;725;0;0;965;950;269;0;0;0;0;56;0
10202;885;Arcen en Velden;2547;0;0,00%;2613;2571;98,39%;0;0;0;2547;0;0;0;0;0;0;0;0;0;0
10079;487;Arkel;1105;0;0,00%;1147;1128;98,34%;602;0;278;0;225;0;0;0;0;0;0;0;0;0
11419;649;Arnemuiden;1429;0;0,00%;1529;1458;95,36%;225;0;0;0;0;226;254;0;365;359;0;0;0;0
10795;202;Arnhem;65825;0;0,00%;71428;67887;95,04%;23332;20261;10650;0;9820;0;0;1510;0;0;0;0;252;0
11369;488;Asperen;959;0;0,00%;1006;979;97,32%;253;0;143;0;0;270;168;0;0;125;0;0;0;0
10522;106;Assen;14262;0;0,00%;15851;14687;92,66%;6677;641;2627;0;0;2029;1286;426;0;0;0;0;576;0
11373;367;Assendelft;3843;0;0,00%;4016;3916;97,51%;1100;1594;323;0;246;0;0;580;0;0;0;0;0;0
10478;743;Asten;4056;0;0,00%;4324;4176;96,58%;0;0;0;4056;0;0;0;0;0;0;0;0;0;0
11147;368;Avenhorn;836;0;0,00%;860;852;99,07%;0;446;0;0;0;0;0;0;390;0;0;0;0;0
11190;143;Avereest;5906;0;0,00%;6558;6004;91,55%;1348;605;691;0;0;1296;1921;0;0;0;0;0;45;0
11289;650;Axel;4229;0;0,00%;4491;4339;96,62%;706;825;0;0;735;0;760;0;705;0;0;0;498;0
10422;61;Baarderadeel;2795;0;0,00%;3043;2858;93,92%;1324;0;738;0;0;437;296;0;0;0;0;0;0;0
10634;651;Baarland;445;0;0,00%;469;452;96,38%;0;105;0;0;106;0;0;0;154;0;0;0;0;80
10060;744;Baarle-Nassau;1937;0;0,00%;2041;1980;97,01%;0;0;0;1937;0;0;0;0;0;0;0;0;0;0
11411;308;Baarn;11038;0;0,00%;12193;11404;93,53%;3108;2058;2611;0;0;2056;1125;0;0;0;0;0;80;0
11255;886;Baexem;672;0;0,00%;715;699;97,76%;0;0;0;672;0;0;0;0;0;0;0;0;0;0
10539;4;Baflo;1696;0;0,00%;1752;1709;97,55%;607;0;276;0;0;763;0;0;0;0;0;0;50;0
10749;745;Bakel en Milheeze;2377;0;0,00%;2518;2451;97,34%;0;1860;0;517;0;0;0;0;0;0;0;0;0;0
10943;489;Barendrecht;4158;0;0,00%;4483;4234;94,45%;982;0;689;0;0;1487;631;0;0;369;0;0;0;0
10906;203;Barneveld;10772;0;0,00%;11958;10901;91,16%;1339;657;760;0;0;2056;4129;0;0;1751;0;0;80;0
10156;62;Barradeel;3906;0;0,00%;4137;3959;95,70%;1073;0;428;0;0;1191;1214;0;0;0;0;0;0;0
10973;369;Barsingerhorn;1090;0;0,00%;1203;1108;92,10%;553;0;271;0;0;0;0;114;0;0;0;152;0;0
10447;1017;Barwoutswaarder;443;0;0,00%;487;462;94,87%;0;94;0;0;0;124;225;0;0;0;0;0;0;0
10921;204;Batenburg;295;0;0,00%;327;312;95,41%;0;0;0;253;0;0;0;0;0;0;0;42;0;0
11030;144;Bathmen;1317;0;0,00%;1404;1343;95,66%;252;0;0;0;0;0;211;0;854;0;0;0;0;0
10425;5;Bedum;4071;0;0,00%;4246;4123;97,10%;919;234;483;0;0;1786;0;0;0;0;0;0;473;176
11089;887;Beegden;560;0;0,00%;594;582;97,98%;0;0;0;560;0;0;0;0;0;0;0;0;0;0
11374;888;Beek;4863;0;0,00%;5281;4968;94,07%;202;0;0;4661;0;0;0;0;0;0;0;0;0;0
10173;746;Beek en Donk;2220;0;0,00%;2489;2346;94,25%;0;0;0;2220;0;0;0;0;0;0;0;0;0;0
