Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;CDA;VVD;RK;Overige;PAK;PCG;KVP;CPN;PPR;SGP;CHU;ARP;GPV;PSP;BP;DS70;D66;PC;GG
11084;738;Aalburg;4594;0;0,00%;5693;4628;81,29%;593;0;416;0;1323;0;0;0;0;0;937;537;788;0;0;0;0;0;0;0
11264;358;Aalsmeer;9946;0;0,00%;13401;9972;74,41%;2361;0;2250;0;603;0;2639;1616;225;0;0;0;0;0;252;0;0;0;0;0
11046;197;Aalten;8754;0;0,00%;11212;8795;78,44%;0;0;695;0;1334;0;0;1181;0;0;0;2474;2958;112;0;0;0;0;0;0
11104;480;Aar (Ter);3544;0;0,00%;4624;3558;76,95%;0;0;812;0;0;548;0;1457;0;0;0;462;265;0;0;0;0;0;0;0
11020;648;Aardenburg;2136;0;0,00%;2489;2159;86,74%;275;0;0;1166;465;0;0;0;0;0;0;0;0;0;0;0;0;0;230;0
10757;739;Aarle-Rixtel;2376;0;0,00%;2943;2392;81,28%;0;0;0;2376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10439;359;Abbekerk;875;0;0,00%;1142;882;77,23%;333;0;0;0;269;0;0;273;0;0;0;0;0;0;0;0;0;0;0;0
11026;481;Abbenbroek;615;0;0,00%;797;617;77,42%;225;0;238;0;0;0;152;0;0;0;0;0;0;0;0;0;0;0;0;0
10712;305;Abcoude;3716;0;0,00%;4729;3739;79,07%;0;0;975;0;0;1009;0;650;0;0;0;704;378;0;0;0;0;0;0;0
10199;59;Achtkarspelen;11345;0;0,00%;15327;11382;74,26%;3421;0;680;0;425;0;5836;0;0;201;198;0;0;584;0;0;0;0;0;0
10996;1;Adorp;993;0;0,00%;1090;997;91,47%;0;0;0;0;279;180;0;0;0;0;0;0;0;131;0;0;0;0;403;0
10999;2;Aduard;1545;0;0,00%;1819;1550;85,21%;583;0;299;0;0;0;464;0;0;0;0;0;0;199;0;0;0;0;0;0
10346;360;Akersloot;2135;0;0,00%;2852;2145;75,21%;0;770;294;0;1071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11327;482;Alblasserdam;8857;0;0,00%;11936;8887;74,46%;2668;1051;1000;0;1830;0;0;0;149;0;1156;1003;0;0;0;0;0;0;0;0
