Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;Onafhankelijk;PAK;D66;PCG;CPN;SGP;PSP;PPR;GPV;Overige;RPF;RK;GG;PC
11084;738;Aalburg;5469;26;0,48%;6780;5495;81,05%;1581;716;526;272;456;0;0;0;1327;0;0;0;0;205;0;0;386
11264;358;Aalsmeer;10321;51;0,49%;14336;10372;72,35%;3780;1964;2908;984;287;0;0;0;0;0;0;0;0;398;0;0;0
11046;197;Aalten;9408;31;0,33%;12411;9439;76,05%;5775;1280;1313;0;762;0;0;0;0;0;0;0;0;278;0;0;0
11104;480;Aar (Ter);4031;29;0,72%;5623;4060;72,20%;1652;0;926;785;499;169;0;0;0;0;0;0;0;0;0;0;0
11020;648;Aardenburg;2334;16;0,69%;2655;2350;88,51%;530;169;291;1103;0;241;0;0;0;0;0;0;0;0;0;0;0
10757;739;Aarle-Rixtel;2981;20;0,67%;3668;3001;81,82%;842;0;0;2139;0;0;0;0;0;0;0;0;0;0;0;0;0
10712;305;Abcoude;4338;18;0,41%;5513;4356;79,01%;1798;332;1408;625;0;0;0;0;0;175;0;0;0;0;0;0;0
10199;59;Achtkarspelen;14040;46;0,33%;18075;14086;77,93%;5835;4302;1185;813;501;0;745;0;0;0;0;659;0;0;0;0;0
10996;1;Adorp;1119;4;0,36%;1269;1123;88,49%;439;0;0;283;233;0;0;0;0;0;0;164;0;0;0;0;0
10999;2;Aduard;1668;6;0,36%;1947;1674;85,98%;554;592;303;0;0;0;0;0;0;0;0;219;0;0;0;0;0
10346;360;Akersloot;2516;6;0,24%;3332;2522;75,69%;973;0;523;554;466;0;0;0;0;0;0;0;0;0;0;0;0
11327;482;Alblasserdam;8450;29;0,34%;11875;8479;71,40%;1841;3044;949;1318;0;0;0;0;1298;0;0;0;0;0;0;0;0
10349;483;Alkemade;6251;23;0,37%;8965;6274;69,98%;3304;684;1714;0;0;0;0;0;0;0;549;0;0;0;0;0;0
10527;361;Alkmaar;33624;142;0,42%;55030;33766;61,36%;7836;7849;6864;4023;3145;1479;0;1781;0;0;0;359;288;0;0;0;0
11053;141;Almelo;28823;183;0,63%;42846;29006;67,70%;9214;8983;5329;119;1707;1667;767;0;0;0;626;122;289;0;0;0;0
10517;484;Alpen a/d/ Rijn;23434;95;0,41%;35813;23529;65,70%;7765;3545;6716;0;775;1505;1476;0;0;0;1040;0;612;0;0;0;0
10710;741;Alphen c.a.;3185;21;0,66%;3918;3206;81,83%;1215;0;277;1693;0;0;0;0;0;0;0;0;0;0;0;0;0
11400;142;Ambt Delden;3389;14;0,41%;3776;3403;90,12%;2003;0;0;737;649;0;0;0;0;0;0;0;0;0;0;0;0
11349;485;Ameide;1767;3;0,17%;2002;1770;88,41%;0;546;227;0;0;0;0;0;0;0;0;0;0;0;0;0;994
11153;60;Ameland;1991;7;0,35%;2166;1998;92,24%;481;248;208;1054;0;0;0;0;0;0;0;0;0;0;0;0;0
11372;306;Amerongen;3555;17;0,48%;4561;3572;78,32%;1341;811;771;0;0;172;0;0;460;0;0;0;0;0;0;0;0
10948;307;Amersfoort;41446;188;0,45%;63203;41634;65,87%;12526;9227;10487;0;3625;2570;1297;0;0;0;0;1714;0;0;0;0;0
10863;486;Ammerstol;957;8;0,84%;1158;965;83,33%;164;532;0;261;0;0;0;0;0;0;0;0;0;0;0;0;0
10151;198;Ammerzoden;2119;20;0,94%;2798;2139;76,45%;1365;459;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10799;362;Amstelveen;37063;189;0,51%;53133;37252;70,11%;9370;6448;14439;374;0;2376;0;656;0;1675;1432;0;293;0;0;0;0
11150;363;Amsterdam;298677;1759;0,59%;519143;300436;57,87%;41309;100026;61630;10977;0;14831;0;37660;0;22615;7852;1299;478;0;0;0;0
10822;364;Andijk;2930;9;0,31%;3930;2939;74,78%;1163;465;432;159;0;179;0;314;0;0;0;0;0;218;0;0;0
11131;199;Angerlo;2380;6;0,25%;3000;2386;79,53%;1085;535;264;496;0;0;0;0;0;0;0;0;0;0;0;0;0
10787;105;Anloo;4069;23;0,57%;4986;4092;82,07%;0;1277;1272;1386;0;0;0;134;0;0;0;0;0;0;0;0;0
10344;366;Anna Paulowna;4916;35;0,71%;6951;4951;71,23%;1584;1216;1749;0;0;262;0;0;0;0;0;49;0;56;0;0;0
11075;200;Apeldoorn;68221;328;0,48%;101877;68549;67,29%;19807;16229;16631;4577;3403;3563;0;0;1940;0;0;337;0;1734;0;0;0
11296;201;Appeltern;2500;13;0,52%;2958;2513;84,96%;1509;398;0;593;0;0;0;0;0;0;0;0;0;0;0;0;0
10886;3;Appingedam;6602;50;0,76%;9276;6652;71,71%;1652;2419;768;1026;236;0;0;297;0;0;0;122;0;82;0;0;0
10202;885;Arcen en Velden;4502;18;0,40%;5600;4520;80,71%;1332;0;379;2118;638;0;0;0;0;0;0;0;35;0;0;0;0
10079;487;Arkel;1829;12;0,66%;2246;1841;81,97%;418;995;416;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11419;649;Arnemuiden;2087;19;0,91%;2653;2106;79,38%;417;457;242;126;0;0;0;0;524;0;0;0;0;0;0;0;321
10795;202;Arnhem;56743;327;0,58%;96091;57070;59,39%;15970;0;13365;679;17174;3345;745;1014;0;2818;0;245;1388;0;0;0;0
11369;488;Asperen;1438;0;0,00%;1840;1438;78,15%;593;274;278;0;0;112;0;0;181;0;0;0;0;0;0;0;0
10522;106;Assen;23454;94;0,40%;32788;23548;71,82%;4749;8562;4880;66;1034;1212;0;0;0;0;1144;1807;0;0;0;0;0
10478;743;Asten;7220;50;0,69%;9587;7270;75,83%;2463;0;0;4757;0;0;0;0;0;0;0;0;0;0;0;0;0
11190;143;Avereest;7261;24;0,33%;9627;7285;75,67%;3559;1507;1384;64;0;340;407;0;0;0;0;0;0;0;0;0;0
11289;650;Axel;6080;38;0,63%;8420;6118;72,66%;2086;1366;1611;0;0;184;833;0;0;0;0;0;0;0;0;0;0
10422;61;Baarderadeel;2810;13;0,46%;3529;2823;79,99%;777;915;661;332;0;125;0;0;0;0;0;0;0;0;0;0;0
10060;744;Baarle-Nassau;3113;21;0,67%;3914;3134;80,07%;272;0;377;2464;0;0;0;0;0;0;0;0;0;0;0;0;0
11411;308;Baarn;12580;47;0,37%;18101;12627;69,76%;3676;2423;4149;0;984;703;645;0;0;0;0;0;0;0;0;0;0
11255;886;Baexem;1373;12;0,87%;1582;1385;87,55%;620;0;0;753;0;0;0;0;0;0;0;0;0;0;0;0;0
10539;4;Baflo;1764;5;0,28%;2077;1769;85,17%;720;631;311;0;0;0;0;0;0;0;0;102;0;0;0;0;0
10749;745;Bakel en Milheeze;3470;35;1,01%;5098;3505;68,75%;2270;466;0;734;0;0;0;0;0;0;0;0;0;0;0;0;0
10943;489;Barendrecht;9495;91;0,96%;12830;9586;74,72%;3363;1645;2557;0;0;735;1195;0;0;0;0;0;0;0;0;0;0
10906;203;Barneveld;19122;77;0,40%;24685;19199;77,78%;7843;1910;3385;334;0;0;1963;0;3687;0;0;0;0;0;0;0;0
