Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;CDA;VVD;Onafhankelijk;PAK;D66;PCG;Overige;SGP;GPV;PSP;CPN;RPF;GG;RK;PPR;PC
11084;738;Aalburg;6066;25;0,41%;7224;6091;84,32%;779;1995;530;638;547;0;0;0;1466;0;0;0;111;0;0;0;0
11264;358;Aalsmeer;12063;78;0,65%;15861;12141;76,55%;2616;4903;3107;1437;0;0;0;0;0;0;0;0;0;0;0;0;0
11046;197;Aalten;10570;38;0,36%;13231;10608;80,18%;2066;5802;1217;0;1174;0;0;0;0;0;0;0;311;0;0;0;0
11104;480;Aar (Ter);4796;41;0,85%;6283;4837;76,99%;0;1967;1024;905;695;0;205;0;0;0;0;0;0;0;0;0;0
11020;648;Aardenburg;2621;20;0,76%;2977;2641;88,71%;254;459;531;1195;0;182;0;0;0;0;0;0;0;0;0;0;0
10757;739;Aarle-Rixtel;3347;18;0,54%;3962;3365;84,93%;0;1061;426;1860;0;0;0;0;0;0;0;0;0;0;0;0;0
10712;305;Abcoude;4614;16;0,35%;5576;4630;83,03%;0;2041;1353;0;1054;0;0;0;0;0;166;0;0;0;0;0;0
10199;59;Achtkarspelen;16063;46;0,29%;18950;16109;85,01%;5840;6139;995;1512;0;0;799;0;0;778;0;0;0;0;0;0;0
10996;1;Adorp;1184;5;0,42%;1313;1189;90,56%;0;420;0;314;285;0;0;0;0;165;0;0;0;0;0;0;0
10999;2;Aduard;1824;8;0,44%;2065;1832;88,72%;734;619;254;0;0;0;0;0;0;217;0;0;0;0;0;0;0
10346;360;Akersloot;2987;9;0,30%;3616;2996;82,85%;450;968;497;945;0;127;0;0;0;0;0;0;0;0;0;0;0
11327;482;Alblasserdam;9848;42;0,43%;12690;9890;77,94%;4052;2003;970;897;542;0;0;0;1384;0;0;0;0;0;0;0;0
10124;613;Albrandswaard;8030;42;0,52%;10731;8072;75,22%;2383;2639;2375;381;0;0;0;0;252;0;0;0;0;0;0;0;0
10349;483;Alkemade;7287;24;0,33%;9631;7311;75,91%;1348;3918;1633;0;0;0;0;0;0;0;0;0;0;0;0;388;0
10527;361;Alkmaar;43248;169;0,39%;63777;43417;68,08%;13238;7896;5324;9863;2783;1466;0;508;0;377;0;1793;0;0;0;0;0
11053;141;Almelo;35392;189;0,53%;45995;35581;77,36%;14518;10731;5484;627;1510;1270;0;815;0;437;0;0;0;0;0;0;0
10018;34;Almere;22240;103;0,46%;31421;22343;71,11%;10253;2436;4143;782;0;1790;182;1241;0;0;0;880;0;0;0;533;0
10517;484;Alpen a/d/ Rijn;28187;136;0,48%;39605;28323;71,51%;6097;8193;7595;1093;1428;1162;1502;1117;0;0;0;0;0;0;0;0;0
10710;741;Alphen c.a.;3578;16;0,45%;4329;3594;83,02%;0;1209;343;2026;0;0;0;0;0;0;0;0;0;0;0;0;0
11400;142;Ambt Delden;3463;14;0,40%;3922;3477;88,65%;0;1963;662;460;378;0;0;0;0;0;0;0;0;0;0;0;0
11153;60;Ameland;2142;10;0,47%;2277;2152;94,51%;302;528;217;1095;0;0;0;0;0;0;0;0;0;0;0;0;0
11372;306;Amerongen;3889;18;0,46%;4845;3907;80,64%;1070;1402;812;0;0;0;605;0;0;0;0;0;0;0;0;0;0
10948;307;Amersfoort;48321;317;0,66%;68017;48638;71,51%;14562;14942;8927;611;3450;2600;1257;0;0;1972;0;0;0;0;0;0;0
10799;362;Amstelveen;40721;182;0,45%;54905;40903;74,50%;9877;10723;14006;146;1605;3286;0;0;0;0;1078;0;0;0;0;0;0
11150;363;Amsterdam;335454;2508;0,75%;541669;337962;62,39%;146814;42437;50526;10133;44079;21335;0;19136;0;994;0;0;0;0;0;0;0
10822;364;Andijk;3249;15;0,46%;4073;3264;80,14%;777;1344;471;0;0;0;0;119;0;0;0;322;216;0;0;0;0
11131;199;Angerlo;2668;5;0,19%;3153;2673;84,78%;686;908;131;943;0;0;0;0;0;0;0;0;0;0;0;0;0
10787;105;Anloo;4532;11;0,24%;5326;4543;85,30%;1700;289;1073;1470;0;0;0;0;0;0;0;0;0;0;0;0;0
10344;366;Anna Paulowna;5651;31;0,55%;7278;5682;78,07%;1722;1829;1567;0;0;438;0;0;0;95;0;0;0;0;0;0;0
11075;200;Apeldoorn;80121;281;0,35%;108485;80402;74,11%;25869;23830;15875;3377;2508;4404;2164;0;2094;0;0;0;0;0;0;0;0
10886;3;Appingedam;7383;45;0,61%;9692;7428;76,64%;3542;1667;622;1130;193;0;0;81;0;148;0;0;0;0;0;0;0
10202;885;Arcen en Velden;4936;26;0,53%;6182;4962;80,27%;0;1906;512;1681;837;0;0;0;0;0;0;0;0;0;0;0;0
11419;649;Arnemuiden;2406;11;0,46%;2857;2417;84,60%;495;697;279;0;0;0;0;0;526;0;0;0;409;0;0;0;0
10795;202;Arnhem;67761;386;0,57%;100721;68147;67,66%;29501;15838;11207;550;1431;3549;1129;2251;0;0;2305;0;0;0;0;0;0
10522;106;Assen;27054;134;0,50%;35481;27188;76,63%;12064;5371;4714;0;1516;1343;0;192;0;1854;0;0;0;0;0;0;0
10478;743;Asten;8275;61;0,74%;10318;8336;80,79%;0;2036;0;4722;1517;0;0;0;0;0;0;0;0;0;0;0;0
11190;143;Avereest;8180;28;0,34%;10168;8208;80,72%;2384;3922;1421;0;0;0;453;0;0;0;0;0;0;0;0;0;0
11289;650;Axel;7170;47;0,66%;9368;7217;77,04%;1995;2501;1665;0;0;0;856;0;0;0;153;0;0;0;0;0;0
10060;744;Baarle-Nassau;3504;22;0,63%;4353;3526;81,00%;0;629;395;0;0;0;0;0;0;0;0;0;0;0;2480;0;0
11411;308;Baarn;14142;72;0,51%;18754;14214;75,79%;3565;4231;3917;0;843;982;604;0;0;0;0;0;0;0;0;0;0
11255;886;Baexem;1525;7;0,46%;1714;1532;89,38%;0;690;0;835;0;0;0;0;0;0;0;0;0;0;0;0;0
10539;4;Baflo;1758;7;0,40%;2082;1765;84,77%;729;678;351;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10749;745;Bakel en Milheeze;3991;23;0,58%;5437;4014;73,83%;196;2163;0;1632;0;0;0;0;0;0;0;0;0;0;0;0;0
10943;489;Barendrecht;11061;45;0,41%;14075;11106;78,91%;2405;3944;2655;0;0;753;1304;0;0;0;0;0;0;0;0;0;0
10906;203;Barneveld;21977;72;0,33%;27052;22049;81,51%;3302;8879;3362;0;0;0;2299;0;4135;0;0;0;0;0;0;0;0
10973;369;Barsingerhorn;2177;4;0,18%;2921;2181;74,67%;1175;239;763;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11030;144;Bathmen;3251;11;0,34%;3723;3262;87,62%;721;520;817;1193;0;0;0;0;0;0;0;0;0;0;0;0;0
10425;5;Bedum;6126;13;0,21%;6858;6139;89,52%;0;2485;637;0;1758;350;0;0;0;896;0;0;0;0;0;0;0
11089;887;Beegden;1185;11;0,93%;1316;1196;90,88%;0;0;0;1185;0;0;0;0;0;0;0;0;0;0;0;0;0
