Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;LOG;VVD;GL;D66;LCG;SP;LPG;SGP;RPF;Overig;GPV;CD;CP86
10787;1680;AA en Hunze;11501;23;0,20%;19298;11524;59,72%;980;3539;2830;2853;733;566;0;0;0;0;0;0;0;0;0
11084;738;Aalburg;6529;7;0,11%;8324;6536;78,52%;947;558;0;1076;0;0;2148;0;430;1370;0;0;0;0;0
11264;358;Aalsmeer;10374;13;0,13%;17669;10387;58,79%;3174;1786;1444;3149;0;821;0;0;0;0;0;0;0;0;0
11046;197;Aalten;9937;22;0,22%;14053;9959;70,87%;4636;1156;0;1054;0;299;750;0;1196;0;846;0;0;0;0
10712;305;Abcoude;4663;18;0,39%;6358;4681;73,62%;1120;732;1475;931;0;405;0;0;0;0;0;0;0;0;0
10199;59;Achtkarspelen;13886;36;0,26%;21144;13922;65,84%;4751;2830;3691;793;0;0;1028;0;0;0;0;0;793;0;0
10346;360;Akersloot;2541;0;0,00%;3692;2541;68,82%;567;690;760;524;0;0;0;0;0;0;0;0;0;0;0
11327;482;Alblasserdam;8591;14;0,16%;13524;8605;63,63%;1553;2312;0;1295;0;410;0;0;913;1374;734;0;0;0;0
10124;613;Albrandswaard;7765;15;0,19%;11984;7780;64,92%;1647;1238;1826;2225;0;406;423;0;0;0;0;0;0;0;0
10349;483;Alkemade;6833;14;0,20%;10713;6847;63,91%;2542;2021;0;2270;0;0;0;0;0;0;0;0;0;0;0
10527;361;Alkmaar;38421;72;0,19%;71207;38493;54,06%;5933;9072;4133;6546;5180;2816;0;4162;0;0;0;0;579;0;0
11053;141;Almelo;28606;75;0,26%;50011;28681;57,35%;7474;7961;3851;4768;1728;1357;1167;0;0;0;0;0;0;300;0
10018;34;Almere;45144;119;0,26%;89046;45263;50,83%;3948;9374;7121;13018;4907;5204;1319;0;253;0;0;0;0;0;0
10517;484;Alphen aan den Rijn;30149;51;0,17%;51672;30200;58,45%;5323;3443;0;7139;2607;2931;2180;3661;2362;503;0;0;0;0;0
10710;1723;Alphen-Chaam;5101;20;0,39%;7179;5121;71,33%;1136;0;3602;363;0;0;0;0;0;0;0;0;0;0;0
11400;142;Ambt Delden;3254;4;0,12%;3997;3258;81,51%;1960;277;509;508;0;0;0;0;0;0;0;0;0;0;0
10456;1679;Ambt Montfort;7302;31;0,42%;8771;7333;83,61%;316;0;6676;310;0;0;0;0;0;0;0;0;0;0;0
11153;60;Ameland;2357;0;0,00%;2643;2357;89,18%;502;493;1199;163;0;0;0;0;0;0;0;0;0;0;0
11372;306;Amerongen;3847;6;0,16%;5565;3853;69,24%;1232;650;0;878;0;311;280;0;0;496;0;0;0;0;0
10948;307;Amersfoort;49952;102;0,20%;91379;50054;54,78%;8452;10889;0;11561;6594;6401;5376;0;0;0;0;679;0;0;0
10799;362;Amstelveen;36169;0;0,00%;61033;36169;59,26%;4871;6201;5411;11246;4899;3541;0;0;0;0;0;0;0;0;0
11150;363;Amsterdam;264967;4163;1,57%;561312;269130;47,95%;16350;74188;32817;49109;39197;22345;1858;18754;800;0;0;5703;0;3846;0
10822;364;Andijk;3160;6;0,19%;4709;3166;67,23%;997;597;0;672;306;169;0;0;0;0;419;0;0;0;0
11131;199;Angerlo;2441;25;1,02%;3649;2466;67,58%;959;0;1482;0;0;0;0;0;0;0;0;0;0;0;0
10344;366;Anna Paulowna;6213;36;0,58%;10062;6249;62,10%;1965;1496;0;1957;0;591;204;0;0;0;0;0;0;0;0
11075;200;Apeldoorn;65176;8;0,01%;117962;65184;55,26%;12327;12947;9784;12704;5861;4956;4333;0;0;2264;0;0;0;0;0
10886;3;Appingedam;5723;10;0,17%;9791;5733;58,55%;1405;2204;1236;537;0;341;0;0;0;0;0;0;0;0;0
10202;885;Arcen en Velden;4821;30;0,62%;6870;4851;70,61%;1821;0;982;497;0;0;0;0;1521;0;0;0;0;0;0
10795;202;Arnhem;54987;260;0,47%;107724;55247;51,29%;6807;13062;7253;8942;5760;3445;1865;5522;1820;0;0;223;0;288;0
10522;106;Assen;28052;30;0,11%;42534;28082;66,02%;3688;6540;7154;3502;2096;1354;2737;981;0;0;0;0;0;0;0
10478;743;Asten;8757;35;0,40%;11881;8792;74,00%;1912;0;3044;1191;474;475;0;0;1661;0;0;0;0;0;0
11190;143;Avereest;7417;20;0,27%;11319;7437;65,70%;2957;1772;0;1616;0;418;654;0;0;0;0;0;0;0;0
11289;650;Axel;6312;28;0,44%;9542;6340;66,44%;1857;1634;511;1016;261;265;0;0;0;0;0;0;768;0;0
10060;744;Baarle Nassau;3186;26;0,82%;4826;3212;66,56%;1340;0;1579;267;0;0;0;0;0;0;0;0;0;0;0
11411;308;Baarn;11451;10;0,09%;18764;11461;61,08%;2260;2411;0;3669;997;1147;967;0;0;0;0;0;0;0;0
10943;489;Barendrecht;12156;19;0,16%;18711;12175;65,07%;2621;2477;0;3953;0;1106;1999;0;0;0;0;0;0;0;0
10906;203;Barneveld;24185;21;0,09%;33042;24206;73,26%;6056;0;0;3305;0;0;4388;0;5335;5101;0;0;0;0;0
10425;5;Bedum;6128;4;0,07%;7881;6132;77,81%;1723;1277;1166;511;0;505;0;0;0;0;0;0;946;0;0
11374;888;Beek;9304;62;0,67%;13465;9366;69,56%;2551;0;2559;1660;0;399;0;0;2135;0;0;0;0;0;0
10816;370;Beemster;4387;20;0,46%;6325;4407;69,68%;834;1136;1110;1108;0;199;0;0;0;0;0;0;0;0;0
10195;889;Beesel;6282;21;0,33%;10151;6303;62,09%;1410;1190;2696;986;0;0;0;0;0;0;0;0;0;0;0
10292;890;Belfeld;2503;16;0,64%;4169;2519;60,42%;681;0;1178;414;0;0;0;0;230;0;0;0;0;0;0
10340;7;Bellingwedde;4896;38;0,78%;7603;4934;64,90%;637;2342;0;1026;891;0;0;0;0;0;0;0;0;0;0
10744;206;Bemmel;7213;42;0,58%;12994;7255;55,83%;1838;1238;2481;949;0;707;0;0;0;0;0;0;0;0;0
10734;372;Bennebroek;2926;14;0,48%;4145;2940;70,93%;970;603;0;1132;0;221;0;0;0;0;0;0;0;0;0
10962;491;Bergambacht;5245;13;0,25%;6946;5258;75,70%;606;1112;1612;788;0;0;1127;0;0;0;0;0;0;0;0
11424;373;Bergen;7887;34;0,43%;11255;7921;70,38%;1213;1123;2302;2049;712;488;0;0;0;0;0;0;0;0;0
11281;893;Bergen  (L);6307;35;0,55%;10337;6342;61,35%;2296;0;575;1324;0;0;0;0;2112;0;0;0;0;0;0
11037;748;Bergen op Zoom;22628;45;0,20%;48607;22673;46,65%;3330;1812;10243;3297;1367;2104;0;475;0;0;0;0;0;0;0
11160;749;Bergeyk;8880;38;0,43%;13620;8918;65,48%;3084;0;4558;1238;0;0;0;0;0;0;0;0;0;0;0
10350;207;Bergh;8497;43;0,51%;14516;8540;58,83%;3099;1993;1034;1325;0;280;0;0;766;0;0;0;0;0;0
10445;492;Bergschenhoek;4683;20;0,43%;7513;4703;62,60%;1381;1055;0;1528;0;0;719;0;0;0;0;0;0;0;0
10139;493;Berkel en Rodenrijs;7898;19;0,24%;11935;7917;66,33%;3021;1273;0;1920;0;678;0;0;0;0;0;0;1006;0;0
10149;1721;Bernheze;13763;14;0,10%;21204;13777;64,97%;3548;0;5278;622;0;463;0;1646;2206;0;0;0;0;0;0
10316;568;Bernisse;5846;9;0,15%;9702;5855;60,35%;1733;1481;0;1871;0;761;0;0;0;0;0;0;0;0;0
10442;753;Best;11682;36;0,31%;18716;11718;62,61%;2759;1660;4735;1861;0;667;0;0;0;0;0;0;0;0;0
10417;209;Beuningen;9958;27;0,27%;18047;9985;55,33%;1673;1576;3217;1218;1032;0;0;0;1242;0;0;0;0;0;0
10272;375;Beverwijk;15847;26;0,16%;28160;15873;56,37%;2839;4108;2121;2763;1890;828;0;0;1015;0;0;0;0;283;0
10222;585;Binnenmaas;9724;5;0,05%;14924;9729;65,19%;1757;2156;1018;3059;0;641;0;0;0;1093;0;0;0;0;0
11006;1728;Bladel;8016;24;0,30%;14393;8040;55,86%;2279;1103;3709;599;0;326;0;0;0;0;0;0;0;0;0
10493;376;Blaricum;5165;6;0,12%;7717;5171;67,01%;759;777;1964;1292;0;373;0;0;0;0;0;0;0;0;0
10994;495;Bleiswijk;4715;16;0,34%;7056;4731;67,05%;1679;838;0;1657;0;0;541;0;0;0;0;0;0;0;0
10850;377;Bloemendaal;9566;9;0,09%;13073;9575;73,24%;1777;1241;1907;2836;448;0;0;0;1357;0;0;0;0;0;0
10815;55;Boarnsterhim;9231;21;0,23%;13872;9252;66,70%;1428;2847;2562;1796;0;598;0;0;0;0;0;0;0;0;0
11091;497;Bodegraven;9445;12;0,13%;13986;9457;67,62%;2860;850;2693;1222;0;313;877;0;0;630;0;0;0;0;0
10432;755;Boekel;4719;27;0,57%;6889;4746;68,89%;1831;0;2888;0;0;0;0;0;0;0;0;0;0;0;0
10865;64;Bolsward;4612;23;0,50%;7270;4635;63,76%;1681;794;1122;518;497;0;0;0;0;0;0;0;0;0;0
11307;211;Borculo;5588;7;0,13%;7936;5595;70,50%;1071;1875;910;1732;0;0;0;0;0;0;0;0;0;0;0
10448;1681;Borger Odoorn;11065;23;0,21%;20161;11088;55,00%;1761;3997;1996;1904;0;878;529;0;0;0;0;0;0;0;0
10927;897;Born;9022;5;0,06%;11389;9027;79,26%;1320;0;6662;0;0;0;0;0;1040;0;0;0;0;0;0
10326;147;Borne;10836;25;0,23%;16765;10861;64,78%;3446;1941;3152;1236;575;486;0;0;0;0;0;0;0;0;0
10043;654;Borsele;9954;15;0,15%;16190;9969;61,58%;2597;2819;0;1835;0;616;2087;0;0;0;0;0;0;0;0
10419;499;Boskoop;7146;9;0,13%;11254;7155;63,58%;2098;862;0;1767;881;447;1091;0;0;0;0;0;0;0;0
11227;756;Boxmeer;14213;44;0,31%;21674;14257;65,78%;1930;1050;8241;1106;0;0;0;1886;0;0;0;0;0;0;0
10083;757;Boxtel;13299;44;0,33%;22287;13343;59,87%;2218;0;5905;1504;0;576;0;1376;1720;0;0;0;0;0;0
10154;758;Breda;47690;93;0,20%;124670;47783;38,33%;13278;5341;11119;7896;3620;3870;0;1738;0;0;0;0;0;828;0
11088;194;Brederwiede;7024;30;0,43%;9355;7054;75,40%;1046;1448;2758;750;0;297;725;0;0;0;0;0;0;0;0
10807;311;Breukelen;7187;19;0,26%;10767;7206;66,93%;1499;611;981;1309;675;534;934;0;0;0;0;644;0;0;0
10232;501;Brielle;7021;20;0,28%;12470;7041;56,46%;1355;2435;0;2502;0;729;0;0;0;0;0;0;0;0;0
10856;898;Broekhuizen;1021;35;3,43%;1463;1056;72,18%;617;0;0;404;0;0;0;0;0;0;0;0;0;0;0
10798;213;Brummen;10291;33;0,32%;16626;10324;62,10%;2226;3633;1378;2271;0;783;0;0;0;0;0;0;0;0;0
10533;899;Brunssum;16535;40;0,24%;24033;16575;68,97%;1903;1064;4972;1156;0;759;1606;1649;3018;0;0;0;0;408;0
10219;759;Budel;8974;51;0,57%;15619;9025;57,78%;1847;1153;5211;763;0;0;0;0;0;0;0;0;0;0;0
10820;312;Bunnik;7518;29;0,39%;10694;7547;70,57%;2536;0;0;1932;0;877;0;0;2173;0;0;0;0;0;0
11343;313;Bunschoten;10094;7;0,07%;13622;10101;74,15%;2189;0;2118;805;0;0;0;0;709;299;1063;0;2911;0;0
10281;381;Bussum;14087;23;0,16%;24562;14110;57,45%;3482;2544;0;4441;2318;1302;0;0;0;0;0;0;0;0;0
11248;502;Capelle a/d IJssel;26407;45;0,17%;48190;26452;54,89%;3289;5606;5401;6175;0;2204;1528;0;0;2204;0;0;0;0;0
