Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;LOG;CDA;PvDA;VVD;GL;D66;CU;SP;LPG;SGP;LCG;Overig
;1680;Aa en Hunze;12320;12;0,10%;19516;12332;63,19%;3853;1181;3258;2727;1301;0;0;0;0;0;0;0
;738;Aalburg;6486;6;0,09%;8652;6492;75,03%;1740;1108;597;870;0;0;710;0;0;1461;0;0
;358;Aalsmeer;10726;11;0,10%;17756;10737;60,47%;2194;3318;0;2343;0;0;0;0;2871;0;0;0
;197;Aalten;9576;10;0,10%;14143;9586;67,78%;420;4575;1054;867;0;0;719;0;1432;0;509;0
;305;Abcoude;4569;9;0,20%;6324;4578;72,39%;713;889;1094;1086;0;787;0;0;0;0;0;0
;59;Achtkarspelen;14348;15;0,10%;21330;14363;67,34%;5328;4334;2161;681;0;0;0;0;0;0;1844;0
;482;Alblasserdam;8579;14;0,16%;13669;8593;62,86%;0;2103;0;1345;0;0;895;0;2824;1412;0;0
;613;Albrandswaard;8686;19;0,22%;13918;8705;62,54%;2607;2068;1261;1964;0;371;0;0;0;0;415;0
;483;Alkemade;7552;14;0,19%;10826;7566;69,89%;3685;1625;1166;1076;0;0;0;0;0;0;0;0
;361;Alkmaar;39493;83;0,21%;71409;39576;55,42%;12165;5734;7989;4631;3567;1763;705;2939;0;0;0;0
;141;Almelo;28300;48;0,17%;54120;28348;52,38%;4083;7287;5915;4224;2509;1684;0;0;0;0;1231;1367
;34;Almere;53057;148;0,28%;111746;53205;47,61%;17736;5206;9081;10335;5634;3070;1995;0;0;0;0;0
;484;Alphen aan den Rijn;29685;87;0,29%;52471;29772;56,74%;5422;5632;2967;6187;2324;1986;1873;2688;0;606;0;0
;1723;Alphen-Chaam;5413;6;0,11%;7217;5419;75,09%;3468;1408;0;537;0;0;0;0;0;0;0;0
;1679;Ambt Montfort;6630;48;0,72%;8767;6678;76,17%;6630;0;0;0;0;0;0;0;0;0;0;0
