Partij;# Stemmen;Percentage;# Zetels
PvdA;1317405;21,50%;0
CDA;1018825;16,63%;0
VVD;907755;14,82%;0
RK;740394;12,09%;0
Overige;517143;8,44%;0
PAK;285797;4,66%;0
PCG;229911;3,75%;0
KVP;202614;3,31%;0
CPN;174666;2,85%;0
PPR;146523;2,39%;0
SGP;127672;2,08%;0
CHU;104944;1,71%;0
ARP;101844;1,66%;0
GPV;68952;1,13%;0
PSP;45416;0,74%;0
BP;42708;0,70%;0;;;;;;;;;;;;;;;;;;;;;;;;;
DS70;33006;0,54%;0;;;;;;;;;;;;;;;;;;;;;;;;;
D66;29319;0,48%;0;;;;;;;;;;;;;;;;;;;;;;;;;
PC;26751;0,44%;0;;;;;;;;;;;;;;;;;;;;;;;;;
GG;4841;0,08%;0;;;;;;;;;;;;;;;;;;;;;;;;;
